<BEGIN>
<Thermal plants>
ID;Name;Generation in time t = -1 in MW;State in t = -1. Either 1, if up, or 0, if down;Start-up trajectory (TRUE or FALSE);Shut-down trajectory (TRUE or FALSE);Number of hours (> 0) in the state of t = -1
93;URUGUAIANA-unit3;0;0;FALSE;FALSE;9548
94;M.COVAS-unit1;167.4;1;FALSE;FALSE;384
95;M.COVAS-unit2;167.4;1;FALSE;FALSE;384
96;M.COVAS-unit3;151.0;1;FALSE;FALSE;384
97;NPIRATININGA-unit1;0;0;FALSE;FALSE;12264
98;NPIRATININGA-unit2;0;0;FALSE;FALSE;12264
99;NPIRATININGA-unit3;0;0;FALSE;FALSE;12264
100;NPIRATININGA-unit4;0;0;FALSE;FALSE;11727
101;NPIRATININGA-unit5;0;0;FALSE;FALSE;11727
102;NPIRATININGA-unit6;0;0;FALSE;FALSE;8723
103;TERMOMACAE-unit1;0;0;FALSE;FALSE;6812
104;TERMOMACAE-unit2;0;0;FALSE;FALSE;9216
105;TERMOMACAE-unit3;0;0;FALSE;FALSE;5003
106;TERMOMACAE-unit4;0;0;FALSE;FALSE;9216
107;TERMOMACAE-unit5;0;0;FALSE;FALSE;9216
108;TERMOMACAE-unit6;0;0;FALSE;FALSE;9216
109;TERMOMACAE-unit7;0;0;FALSE;FALSE;9216
110;TERMOMACAE-unit8;0;0;FALSE;FALSE;9216
111;TERMOMACAE-unit9;0;0;FALSE;FALSE;9216
112;TERMOMACAE-unit10;0;0;FALSE;FALSE;9216
113;TERMOMACAE-unit11;0;0;FALSE;FALSE;9216
114;TERMOMACAE-unit12;0;0;FALSE;FALSE;6816
115;TERMOMACAE-unit13;0;0;FALSE;FALSE;9216
116;TERMOMACAE-unit14;0;0;FALSE;FALSE;6916
117;TERMOMACAE-unit15;0;0;FALSE;FALSE;9216
118;TERMOMACAE-unit16;0;0;FALSE;FALSE;9216
119;TERMOMACAE-unit17;0;0;FALSE;FALSE;9216
120;TERMOMACAE-unit18;0;0;FALSE;FALSE;9216
121;TERMOMACAE-unit19;0;0;FALSE;FALSE;6816
122;TERMOMACAE-unit20;0;0;FALSE;FALSE;9216
123;S.TIARAJU(L)-gas;0;0;FALSE;FALSE;4011
124;S.TIARAJU(L)-steam;0.0;0;FALSE;FALSE;3600
125;TNORTE 2-unit1;0;0;FALSE;FALSE;9216
126;TNORTE 2-unit2;0;0;FALSE;FALSE;9216
127;TNORTE 2-unit3;0;0;FALSE;FALSE;9216
128;TNORTE 2-unit4;0;0;FALSE;FALSE;9216
129;APAREC B1-unit1;43.0;1;FALSE;FALSE;147
130;APAREC B1-unit2;0;0;FALSE;FALSE;2377
131;APAREC B1-unit3;40.0;1;FALSE;FALSE;144
132;APAREC B1-unit4;30.0;1;FALSE;FALSE;149
133;SUZANO MA;0.0;0;FALSE;FALSE;3600
134;ANGRA 2;1215.0;1;FALSE;FALSE;1583
135;ANGRA 1;640.0;1;FALSE;FALSE;5331
136;CRIST.ROCHA-unit1;13.77;1;FALSE;FALSE;644
137;CRIST.ROCHA-unit2;17.08;1;FALSE;FALSE;551
138;CRIST.ROCHA-unit3;17.08;1;FALSE;FALSE;564
139;CRIST.ROCHA-unit4;17.08;1;FALSE;FALSE;658
140;CRIST.ROCHA-unit5;0;0;FALSE;FALSE;428
141;TAMBAQUI-unit1;0;0;FALSE;FALSE;2374
142;TAMBAQUI-unit2;38.0;1;FALSE;FALSE;7672
143;TAMBAQUI-unit3;25.0;1;FALSE;FALSE;2426
144;MARACANAU-unit1;0;0;FALSE;FALSE;249
145;MARACANAU-unit2;0;0;FALSE;FALSE;249
146;MARACANAU-unit3;0;0;FALSE;FALSE;250
147;MARACANAU-unit4;0;0;FALSE;FALSE;249
148;MARACANAU-unit5;0;0;FALSE;FALSE;249
149;MARACANAU-unit6;0;0;FALSE;FALSE;249
150;MARACANAU-unit7;0;0;FALSE;FALSE;247
151;MARACANAU-unit8;0;0;FALSE;FALSE;247
152;T.NORDESTE-unit1;0;0;FALSE;FALSE;624
153;T.NORDESTE-unit2;0;0;FALSE;FALSE;1441
154;T.NORDESTE-unit3;0;0;FALSE;FALSE;1440
155;T.PARAIBA-unit1;0;0;FALSE;FALSE;102
156;T.PARAIBA-unit2;0;0;FALSE;FALSE;5815
157;T.PARAIBA-unit3;0;0;FALSE;FALSE;100
158;GERAMAR I-unit1;0;0;FALSE;FALSE;9548
159;GERAMAR I-unit2;0;0;FALSE;FALSE;9548
160;GERAMAR I-unit3;0;0;FALSE;FALSE;9548
161;GERAMAR I-unit4;0;0;FALSE;FALSE;9548
162;GERAMAR I-unit5;0.0;0;FALSE;FALSE;3600
163;GERAMAR I-unit6;0.0;0;FALSE;FALSE;3600
164;GERAMAR I-unit7;0.0;0;FALSE;FALSE;3600
165;GERAMAR I-unit8;0.0;0;FALSE;FALSE;3600
166;GERAMAR I-unit9;0.0;0;FALSE;FALSE;3600
167;GERAMAR I-unit10;0.0;0;FALSE;FALSE;3600
168;GERAMAR I-unit11;0.0;0;FALSE;FALSE;3600
169;GERAMAR I-unit12;0.0;0;FALSE;FALSE;3600
170;GERAMAR I-unit13;0.0;0;FALSE;FALSE;3600
171;GERAMAR I-unit14;0.0;0;FALSE;FALSE;3600
172;GERAMAR I-unit15;0.0;0;FALSE;FALSE;3600
173;GERAMAR I-unit16;0.0;0;FALSE;FALSE;3600
174;GERAMAR I-unit17;0.0;0;FALSE;FALSE;3600
175;GERAMAR I-unit18;0.0;0;FALSE;FALSE;3600
176;GERAMAR I-unit19;0.0;0;FALSE;FALSE;3600
177;GERAMAR II-unit1;0;0;FALSE;FALSE;9548
178;GERAMAR II-unit2;0;0;FALSE;FALSE;9548
179;GERAMAR II-unit3;0;0;FALSE;FALSE;9548
180;GERAMAR II-unit4;0;0;FALSE;FALSE;9548
181;GERAMAR II-unit5;0.0;0;FALSE;FALSE;3600
182;GERAMAR II-unit6;0.0;0;FALSE;FALSE;3600
183;GERAMAR II-unit7;0.0;0;FALSE;FALSE;3600
184;GERAMAR II-unit8;0.0;0;FALSE;FALSE;3600
185;GERAMAR II-unit9;0.0;0;FALSE;FALSE;3600
186;GERAMAR II-unit10;0.0;0;FALSE;FALSE;3600
187;GERAMAR II-unit11;0.0;0;FALSE;FALSE;3600
188;GERAMAR II-unit12;0.0;0;FALSE;FALSE;3600
189;GERAMAR II-unit13;0.0;0;FALSE;FALSE;3600
190;GERAMAR II-unit14;0.0;0;FALSE;FALSE;3600
191;GERAMAR II-unit15;0.0;0;FALSE;FALSE;3600
192;GERAMAR II-unit16;0.0;0;FALSE;FALSE;3600
193;GERAMAR II-unit17;0.0;0;FALSE;FALSE;3600
194;GERAMAR II-unit18;0.0;0;FALSE;FALSE;3600
195;GERAMAR II-unit19;0.0;0;FALSE;FALSE;3600
196;UTE VIANA-unit1;0;0;FALSE;FALSE;775
197;UTE VIANA-unit2;0;0;FALSE;FALSE;774
198;UTE VIANA-unit3;0;0;FALSE;FALSE;774
199;UTE VIANA-unit4;0;0;FALSE;FALSE;774
200;CAMPINA GRAN-unit1;0;0;FALSE;FALSE;6861
201;CAMPINA GRAN-unit2;0;0;FALSE;FALSE;6861
202;CAMPINA GRAN-unit3;0;0;FALSE;FALSE;6861
203;CAMPINA GRAN-unit4;0;0;FALSE;FALSE;6861
204;SUAPE 2-unit1;0;0;FALSE;FALSE;9548
205;SUAPE 2-unit2;0;0;FALSE;FALSE;9548
206;SUAPE 2-unit3;0;0;FALSE;FALSE;9548
207;SUAPE 2-unit4;0;0;FALSE;FALSE;9548
208;SUAPE 2-unit5;0;0;FALSE;FALSE;409
209;SUAPE 2-unit6;0;0;FALSE;FALSE;9548
210;SUAPE 2-unit7;0;0;FALSE;FALSE;9548
211;SUAPE 2-unit8;0;0;FALSE;FALSE;9548
212;SUAPE 2-unit9;0;0;FALSE;FALSE;9548
213;SUAPE 2-unit10;0;0;FALSE;FALSE;9548
214;SUAPE 2-unit11;0;0;FALSE;FALSE;9548
215;SUAPE 2-unit12;0;0;FALSE;FALSE;9548
216;SUAPE 2-unit13;0;0;FALSE;FALSE;9548
217;SUAPE 2-unit14;0;0;FALSE;FALSE;9548
218;SUAPE 2-unit15;0;0;FALSE;FALSE;9548
219;SUAPE 2-unit16;0;0;FALSE;FALSE;9548
220;SUAPE 2-unit17;0;0;FALSE;FALSE;9548
221;GLOBAL I-unit1;0;0;FALSE;FALSE;5640
222;GLOBAL I-unit2;0;0;FALSE;FALSE;5640
223;GLOBAL I-unit3;0;0;FALSE;FALSE;5640
224;GLOBAL I-unit4;0;0;FALSE;FALSE;5640
225;GLOBAL II-unit1;0;0;FALSE;FALSE;9548
226;GLOBAL II-unit2;0;0;FALSE;FALSE;5640
227;GLOBAL II-unit3;0;0;FALSE;FALSE;6980
228;GLOBAL II-unit4;0;0;FALSE;FALSE;5640
229;IGARAPE;0;0;FALSE;FALSE;8377
230;CAMACARI MI-unit1;0;0;FALSE;FALSE;8769
231;CAMACARI MI-unit2;0;0;FALSE;FALSE;9216
232;CAMACARI MI-unit3;0;0;FALSE;FALSE;8746
233;CAMACARI MI-unit4;0;0;FALSE;FALSE;8747
234;MAUA 3-unit1;188.33333333333334;1;FALSE;FALSE;3101
235;MAUA 3-unit2;188.33333333333334;1;FALSE;FALSE;3101
236;MAUA 3-unit3;188.33333333333334;1;FALSE;FALSE;3101
237;PERNAMBUCO3-unit1;0;0;FALSE;FALSE;5497
238;PERNAMBUCO3-unit2;0;0;FALSE;FALSE;6862
239;PERNAMBUCO3-unit3;0;0;FALSE;FALSE;5496
240;PERNAMBUCO3-unit4;0;0;FALSE;FALSE;5497
241;PALMEIRAS-unit1;0;0;FALSE;FALSE;511
242;PALMEIRAS-unit2;0;0;FALSE;FALSE;9548
243;GOIANIA 2-unit1;0;0;FALSE;FALSE;9548
244;GOIANIA 2-unit2;0;0;FALSE;FALSE;9548
245;PETROLINA(L)-unit1;0;0;FALSE;FALSE;9216
246;PETROLINA(L)-unit2;0;0;FALSE;FALSE;9216
247;PETROLINA(L)-unit3;0;0;FALSE;FALSE;9216
248;PETROLINA(L)-unit4;0;0;FALSE;FALSE;9216
249;PETROLINA(L)-unit5;0;0;FALSE;FALSE;9216
250;PETROLINA(L)-unit6;0;0;FALSE;FALSE;9216
251;PETROLINA(L)-unit7;0;0;FALSE;FALSE;9216
252;PETROLINA(L)-unit8;0;0;FALSE;FALSE;9216
253;P.FERRO-unit1;0;0;FALSE;FALSE;6862
254;P.FERRO-unit2;0;0;FALSE;FALSE;6862
255;P.FERRO-unit3;0;0;FALSE;FALSE;6862
256;P.FERRO-unit4;0;0;FALSE;FALSE;6862
257;P.FERRO-unit5;0;0;FALSE;FALSE;6862
258;P.FERRO-unit6;0;0;FALSE;FALSE;6862
259;P.FERRO-unit7;0;0;FALSE;FALSE;6862
260;T.MANAUS-unit1;0;0;FALSE;FALSE;6862
261;T.MANAUS-unit2;0;0;FALSE;FALSE;6862
262;T.MANAUS-unit3;0;0;FALSE;FALSE;6862
263;T.MANAUS-unit4;0;0;FALSE;FALSE;6862
264;T.MANAUS-unit5;0;0;FALSE;FALSE;6862
265;T.MANAUS-unit6;0;0;FALSE;FALSE;6862
266;T.MANAUS-unit7;0;0;FALSE;FALSE;6862
267;T.MANAUS-unit8;0;0;FALSE;FALSE;6862
268;T.MANAUS-unit9;0;0;FALSE;FALSE;6862
269;T.MANAUS-unit10;0;0;FALSE;FALSE;6862
270;T.MANAUS-unit11;0;0;FALSE;FALSE;6862
271;T.MANAUS-unit12;0;0;FALSE;FALSE;6862
272;ATLANTICO-unit1;134.33333333333334;1;FALSE;FALSE;2976
273;ATLANTICO-unit2;134.33333333333334;1;FALSE;FALSE;2976
274;ATLANTICO 2;134.33333333333334;1;FALSE;FALSE;2976
275;S.CRUZ 34-unit1;0;0;FALSE;FALSE;9548
276;S.CRUZ 34-unit2;0;0;FALSE;FALSE;9548
277;S.CRUZ NV-unit1;0;0;FALSE;FALSE;2810
278;S.CRUZ NV-unit2;0;0;FALSE;FALSE;3233
279;PIRATININGA 12-unit1;0;0;FALSE;FALSE;9548
280;PIRATININGA 12-unit2;0;0;FALSE;FALSE;9548
281;CAMPOS-unit1;0;0;FALSE;FALSE;9548
282;CAMPOS-unit2;0;0;FALSE;FALSE;9548
283;DAIA-unit1;0;0;FALSE;FALSE;9548
284;DAIA-unit2;0;0;FALSE;FALSE;9548
285;DAIA-unit3;0;0;FALSE;FALSE;9548
286;STA VITORIA;41.0;1;FALSE;FALSE;3960
287;XAVANTES-unit1;0;0;FALSE;FALSE;9218
288;XAVANTES-unit2;0;0;FALSE;FALSE;9218
289;ALTOS;0;0;FALSE;FALSE;9548
290;ARACATI;0;0;FALSE;FALSE;9548
291;BAHIA-unit1;0;0;FALSE;FALSE;5640
292;BAHIA-unit2;0;0;FALSE;FALSE;5640
293;BAHIA-unit3;0;0;FALSE;FALSE;5640
294;BATURITE;0;0;FALSE;FALSE;9548
295;IGUATU;0;0;FALSE;FALSE;9548
296;JUAZEIRO N;0;0;FALSE;FALSE;9548
297;MARAMBAIA;0;0;FALSE;FALSE;9548
298;MURICY-unit1;0;0;FALSE;FALSE;6980
299;MURICY-unit2;0;0;FALSE;FALSE;9216
300;MURICY-unit3;0;0;FALSE;FALSE;6980
301;MURICY-unit4;0;0;FALSE;FALSE;9216
302;MURICY-unit5;0;0;FALSE;FALSE;6980
303;MURICY-unit6;0;0;FALSE;FALSE;6980
304;MURICY-unit7;0;0;FALSE;FALSE;6980
305;MURICY-unit8;0;0;FALSE;FALSE;9216
306;NAZARIA;0;0;FALSE;FALSE;9548
307;PSERGIPE I-gas1;0;0;FALSE;FALSE;3480
308;PSERGIPE I-gas2;0;0;FALSE;FALSE;3711
309;PSERGIPE I-gas3;0;0;FALSE;FALSE;5184
310;PSERGIPE I-steam;0;0;FALSE;FALSE;3734
311;POTIGUAR-unit1;0;0;FALSE;FALSE;6862
312;POTIGUAR-unit2;0;0;FALSE;FALSE;6862
313;POTIGUAR-unit3;0;0;FALSE;FALSE;6862
314;POTIGUAR-unit4;0;0;FALSE;FALSE;6862
315;POTIGUAR_3-unit1;0;0;FALSE;FALSE;6862
316;POTIGUAR_3-unit2;0;0;FALSE;FALSE;6862
317;POTIGUAR_3-unit3;0;0;FALSE;FALSE;6862
318;POTIGUAR_3-unit4;0;0;FALSE;FALSE;6862
319;POTIGUAR_3-unit5;0;0;FALSE;FALSE;6862
320;POTIGUAR_3-unit6;0;0;FALSE;FALSE;6982
321;PROSPERIDA-unit1;9.34;1;FALSE;FALSE;480
322;PROSPERIDA-unit2;9.34;1;FALSE;FALSE;480
323;PROSPERIDA-unit3;9.32;1;FALSE;FALSE;480
324;SYKUE I;0;0;FALSE;FALSE;1776
325;TERMOCABO-unit1;0;0;FALSE;FALSE;6980
326;TERMOCABO-unit2;0;0;FALSE;FALSE;6980
327;TERMOCABO-unit3;0;0;FALSE;FALSE;6980
328;PARNAIB_IV;56.00000000000001;1;FALSE;FALSE;231
</Thermal plants>
</END>
