<BEGIN>;Coefficients ($/hm3) and RHS ($) -- alpha + coef*v...>= RHS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cut (j);CAMARGOS;ITUTINGA;FUNIL - GRANDE;FURNAS;MASCARENHAS DE MORAES;LC BARRETO;JAGUARA;IGARAPAVA;VOLTA GRANDE;PORTO COLÔMBIA;CACONDE;E. DA CUNHA;A. S. OLIVEIRA;MARIMBONDO;A. VERMELHA;BATALHA;SERRA DO FACÃO;EMBORCACAO;NOVA PONTE;MIRANDA;AMADOR AGUIAR I;AMADOR AGUIAR II;CORUMBÁ IV;CORUMBÁ I;ITUMBIARA;CACH.DOURADA;SAO SIMAO;I. SOLTEIRA;BARRA BONITA;BARIRI;IBITINGA;PROMISSÃO;N.AVANHANDAVA;TRES IRMAOS;JUPIA;P. PRIMAVERA;JURUMIRIM;PIRAJU;CHAVANTES;L. N. GARCEZ;CANOAS II;CANOAS I;MAUÁ;CAPIVARA;TAQUARUCU;ROSANA;ITAIPU;SANTA CLARA - PR;FUNDÃO;JORDÃO;G.B. MUNHOZ;SEGREDO;SLT.SANTIAGO;SALTO OSORIO;SALTO CAXIAS;BAIXO IGUAÇU;BARRA GRANDE;GARIBALDI;CAMPOS NOVOS;MACHADINHO;ITA;PASSO FUNDO;MONJOLINHO;QUEBRA-QUEIXO;CASTRO ALVES;MONTE CLARO;14 DE JULHO;SÃO JOSÉ;PASSO S. JOÃO;FOZ DO CHAPECÓ;EDGARD DE SOUZA;TRAIÇÃO;PEDREIRA;ERNESTINA;PASSO REAL;JACUÍ;ITAÚBA;DONA FRANCISCA;CAPIVARI-CACHOEIRA;GUARAPIRANGA;BILLINGS;HENRY BORDEN;JAGUARI;PARAIBUNA;SANTA BRANCA;FUNIL;LAJES;SANTA CECÍLIA;PICADA;SOBRAGI;SIMPLÍCIO;ILHA DOS POMBOS;NILO PEÇANHA;PEREIRA PASSOS;SALTO GRANDE;PORTO ESTRELA;CANDONGA;BAGUARI;AIMORÉS;MASCARENHAS;IRAPÉ;SÃO DOMINGOS;ITAPEBI;RETIRO BAIXO;TRES MARIAS;QUEIMADO;SOBRADINHO;ITAPARICA;MOXOTO;P.AFONSO 123;P.AFONSO 4;XINGO;TOCOS;SANTANA;VIGARIO;FONTES;FONTES BC;PEDRA DO CAVALO;BOA ESPERANÇA;GUILMAN-AMORIM;SÁ CARVALHO;JAURU;GUAPORÉ;CORUMBÁ III;CACHOEIRA CALDEIRÃO;SALTO PILÃO;ROSAL;SINOP;COLÍDER;TELES PIRES;SÃO MANOEL;SALTO DO RIO VERDINHO;OURINHOS;SERRA MESA;CANA BRAVA;SÃO SALVADOR;PEIXE ANGICAL;LAJEADO;SALTO;ESTREITO TOC;CURUÁ-UNA;TUCURUI;RONDON II;BALBINA;MANSO;SAMUEL;COARACY NUNES;PONTE PEDRA;SANTA CLARA - MG;FERREIRA GOMES;JIRAU;SANTO ANTÔNIO JARI;STO ANTONIO;BELO MONTE;ESPORA;ITIQUIRA I;ITIQUIRA II;DARDANELOS;CAÇU;BARRA DOS COQUEIROS;PIMENTAL;FOZ DO RIO CLARO;RHS ($)
11;154649.077;149809.8851;143701.958;136257.3567;117346.7849;107437.9152;92803.73124;82820.31336;78852.93698;72372.93339;108664.1119;89453.14366;72244.36479;69839.16971;57072.98665;128863.8174;122658.7626;109731.7558;146562.288;126369.7796;112179.7156;95193.66872;121131.2527;100354.0237;85215.44237;68298.17152;61976.34523;45431.99016;69186.85916;65066.04121;60767.36083;58075.69141;52508.07526;45398.50149;0;28804.08237;88770.69994;81916.22267;76175.46579;56772.52053;52805.89338;49307.58474;73689.00092;45759.39044;35795.16537;29394.98735;26644.78721;131449.2576;108316.121;86020.53802;113982.7687;87037.59676;59408.05578;35147.65787;15635.10207;0;101698.5211;120660.7578;109751.0349;66650.16939;37318.13712;93042.93718;27663.25065;28105.80082;35116.0214;16195.8318;7567.824919;11118.65741;6520.817771;12267.40912;68072.94525;68760.32053;142997.3198;41229.46455;41083.9195;32534.9142;29619.07073;7768.116575;176079.1832;84787.97012;142918.6909;156601.2736;49246.3106;61660.70302;41254.69602;22608.60519;34582.66422;7365.25052;32261.41971;15034.41649;6686.427369;4654.015314;26021.59278;8097.591119;37731.82218;26114.26211;13563.24103;13554.59596;9841.94399;3942.372344;56389.75832;33589.81653;19612.17772;14742.67484;7090.091048;56986.53891;-1804.322048;-7585.530317;-19674.43731;-24922.56981;-19674.43731;-47362.99189;32974.22346;13818.96451;26021.3457;36198.09439;26021.3457;43904.73352;8438.803219;48137.01503;27636.92495;23398.57524;39338.81072;107251.1708;4767.527731;34176.79454;2926.165134;11406.29439;4169.420942;4169.510636;8.183485297;50418.17624;59323.8029;68692.7461;37353.67725;27161.9475;23113.38714;16190.27269;59913.05278;10058.74582;363.5665478;8595.420541;8038.065486;4342.920203;12919.03347;4198.4528;2391.030026;1049.188817;11107.55315;2399.216877;-1705.177425;3526.47601;-886.9291374;16061.2821;54824.12938;16932.82047;8769.830151;-207.2547727;60658.58252;54308.04237;16060.75865;48686.67614;73623413446
12;154648.5105;149809.3383;143701.5177;136257.0454;117346.4931;107437.6349;92803.6656;82820.18452;78852.87786;72372.97641;108663.8008;89452.75395;72244.27907;69839.0743;57073.22785;128863.5615;122658.4698;109731.4456;146561.8534;126366.0744;112177.4165;95193.21084;121130.8029;100353.5847;85215.16587;68298.16021;61976.49494;45432.52558;69186.66441;65065.93598;60767.3288;58075.62554;52508.15677;45398.84579;0;28804.51378;88770.51253;81916.08369;76175.31792;56772.34727;52805.77238;49307.52686;73688.74171;45759.42223;35795.47471;29395.3969;26645.12731;131448.1797;108314.9621;86019.93621;113981.8962;87036.92466;59407.91277;35147.99555;15634.74112;0;101698.295;120659.6537;109750.5509;66650.80433;37317.46499;93042.86604;27662.73258;28105.2991;35115.07159;16195.40918;7567.637267;11118.48982;6520.718871;12267.24111;68072.7538;68760.12714;142997.0473;41229.4039;41083.83794;32534.978;29618.54823;7767.97892;176078.3888;84787.7785;142918.4185;156597.652;49246.17995;61660.56705;41254.61941;22608.51082;34582.62869;7365.404127;32260.84148;15034.25853;6686.389964;4653.887846;26021.44864;8097.463919;37731.09357;26113.67303;13562.95198;13554.3071;9841.760303;3942.294037;56389.50697;33590.1835;19611.79581;14742.43713;7089.954237;56986.27968;-1804.441956;-7585.56014;-19674.24127;-24922.25199;-19674.24127;-47362.30815;32974.18794;13819.10256;26021.20156;36197.94541;26021.20156;26269.82272;8438.738063;48136.10788;27636.49192;23398.20241;39338.1825;107250.7764;4767.45294;34175.89813;2926.165949;11406.23093;4169.493506;4169.583199;8.236476404;50418.64589;59323.61391;68692.62361;37353.345;27161.72724;23113.01131;16190.14944;59913.4909;10058.62756;363.5559284;8595.31156;8037.852687;4342.902651;12918.95235;4198.41513;2390.991223;1049.222043;11107.32055;2399.177946;-1705.150647;3526.436411;-886.9152091;16061.06903;54824.40467;16932.77841;8769.796205;-207.2515209;60658.91631;54308.39815;16060.54558;48687.10305;73536423341
13;154638.3755;149804.6645;143700.1406;136257.6963;117347.4273;107438.5962;92804.48214;82821.23072;78853.45339;72373.26456;108663.9758;89453.21846;72244.56798;69840.08979;57074.39722;128863.7768;122658.8042;109731.8728;146562.1627;126368.029;112178.6627;95193.57348;121129.2813;100353.582;85215.59232;68298.6772;61977.41107;45433.6952;69187.24299;65066.47382;60767.83213;58076.42743;52508.93567;45399.82122;0;28805.08183;88770.69065;81916.32069;76175.55609;56772.48748;52805.97175;49307.79549;73688.59918;45759.79405;35795.93658;29395.90996;26645.46267;131450.1863;108316.5486;86021.39271;113983.2712;87038.35567;59409.10923;35148.97851;15634.88016;0;101699.4795;120660.8304;109751.6085;66651.29747;37317.77642;93043.92852;27662.94036;28105.53294;35115.34821;16195.52895;7567.698486;11118.56507;6520.771706;12267.31955;68073.32746;68760.7066;142998.421;41229.45329;41083.89759;32534.99605;29618.65529;7768.025572;176079.5628;84788.27338;142919.7915;156599.043;49246.20465;61660.67409;41255.14466;22607.11306;22563.15143;7363.889095;32259.75895;15032.92122;6684.851828;4653.95749;14689.64737;-3232.907758;37731.36303;26113.87986;13563.05579;13554.41084;9841.807803;3942.320969;56389.56651;33590.78029;19611.89498;14743.05759;7090.619045;56987.07932;-1804.364317;-7585.558665;-19674.32182;-24922.37958;-19674.32182;-47362.44318;21031.59049;2487.192904;14689.40029;24255.16358;14689.40029;26276.92187;8438.549378;48136.54802;27636.73227;23398.38666;39338.55794;107249.8028;4767.523727;34175.91328;2926.253778;11408.13624;4171.34437;4171.434064;8.196433292;50419.8004;59323.77178;68692.7238;37353.6048;27161.90668;23113.95502;16190.36387;59914.73044;10058.77436;363.5504514;8595.461273;8037.479548;4342.900156;12919.00313;4198.33115;2391.03275;1049.220961;11107.43732;2399.219611;-1705.166408;3526.479774;-886.9234068;16061.23532;54825.91173;16932.8777;8769.858698;-207.2534348;60660.22579;54309.54886;16060.71187;48688.21253;73516821720
14;154573.6395;149738.2768;143639.3705;136263.5787;117353.2739;107444.0549;92810.83945;82821.55957;78854.01353;72374.29107;108667.0218;89454.55591;72246.39914;69837.10398;57070.98878;128867.9103;122662.6921;109735.8987;146566.5825;126374.9182;112174.5637;95198.15942;121135.6537;100358.4722;85221.67407;68308.88983;61986.26379;45416.34333;69178.25458;65057.23504;60758.56352;58054.90119;52486.79534;45378.97193;0;28798.14135;88773.28513;81918.22699;76176.74199;56773.81288;52807.52903;49309.2223;73688.92354;45757.29468;35788.81933;29388.68835;26640.21998;131443.1781;108315.006;86020.63148;113981.6472;87037.53597;59410.22346;35152.54623;15633.28911;0;101698.7892;120658.7487;109748.6883;66651.9928;37315.54333;93043.10767;27661.32411;28103.76296;35114.97116;16195.02773;7567.481643;11118.09877;6520.441896;12266.34833;68064.6685;68751.96017;143000.636;40595.64773;41098.29805;32584.55988;29617.07031;7767.301159;176074.2893;84780.03067;142922.0052;156585.236;49248.42548;61663.34598;41256.15983;22608.37067;22641.82624;7366.156962;32259.75559;15034.07344;6686.752855;4653.591576;14690.09435;-3233.588521;37728.7909;26110.9402;13562.1448;13553.50044;9840.930107;3942.010895;56390.23458;33583.52873;19611.84351;14746.06906;7096.186177;56993.60592;-1800.142228;-7581.033894;-19668.95638;-24916.55142;-19668.95638;-47355.8582;21032.72642;2488.715732;14689.84728;24256.30913;14689.84728;26275.55978;8437.867861;48133.00758;27634.44549;23396.46786;39336.47923;107254.992;4767.090343;34176.25761;2926.170981;11097.5992;3971.750226;3971.844174;-3.349587174;50416.03422;59324.60855;68694.43311;37354.67801;27163.63895;23112.68873;16190.88123;59910.58883;10059.67489;363.4588294;8596.717888;8040.837851;4342.972943;12918.98727;4200.95179;2390.810823;1049.239054;11106.46108;2398.996947;-1705.024792;3526.04547;-886.8497459;16059.5003;54821.96025;16930.9513;8768.98077;-207.2362377;60655.2575;54305.58463;16058.96074;48684.93049;73513671706
15;154574.0594;149738.7295;143639.7911;136263.9332;117353.6755;107444.6384;92811.2219;82821.83834;78854.27301;72374.5149;108667.3068;89454.58456;72246.33562;69837.2478;57071.1355;128868.2554;122663.0389;109736.2131;146567.0114;126372.286;112174.1583;95198.37922;121136.1056;100358.701;85221.87024;68308.91932;61986.21733;45416.88974;69178.22553;65057.18004;60758.50786;58055.38191;52487.25503;45379.39572;0;28798.35138;88773.58646;81918.55575;76177.06394;56773.94428;52807.56167;49309.36304;73689.65011;45757.53321;35789.12682;29388.90632;26640.30578;131443.9253;108315.4206;86021.04326;113982.2351;87037.87349;59410.23552;35152.17752;15633.35439;0;101699.3651;120658.834;109748.6392;66651.4401;37315.77445;93043.99259;27661.53013;28103.86329;35115.25882;16195.13013;7567.570437;11118.15791;6520.439171;12266.51769;68064.6349;68751.92623;143001.4712;41230.22008;41084.28318;32534.11843;29617.36985;7767.371595;176076.3635;84780.39113;142922.84;156585.8887;49248.70162;61663.58782;41256.37228;22608.35375;22641.97885;7366.115362;32259.81958;15034.07223;6686.711255;4653.606993;14690.162;-3233.544439;37729.16119;26111.30527;13562.23599;13553.59157;9841.014589;3942.03724;56390.34047;33583.71598;19611.68108;26092.62993;18442.66694;56994.70751;-1799.362902;-7580.25103;-19668.25458;-24915.87149;-19668.25458;-47355.44673;21032.91726;2488.732517;14689.91492;24256.53828;14689.91492;26275.92378;8437.889506;48133.40759;27634.67024;23396.55341;39336.69634;107255.2873;4767.103377;34176.7403;2926.170698;11116.19407;3976.415076;3976.509024;-3.334922228;50416.20125;59324.79511;68694.62339;37354.63962;27163.50962;23112.8462;16190.88252;59910.76257;10059.68963;363.4631082;8596.704272;8040.661833;4342.987661;12919.04152;4200.773314;2390.81212;1049.238424;11106.58196;2398.998248;-1705.034072;3526.066;-886.8545728;16059.62043;54822.05205;16931.08102;8769.052609;-207.2373646;60655.49218;54305.7528;16059.08137;48685.06812;73787081601
16;154653.0766;149813.5311;143706.0215;136261.2569;117350.5827;107441.5683;92806.29426;82822.56499;78855.06247;72374.62903;108667.3269;89456.3157;72246.36442;69844.30855;57079.21478;128867.2883;122662.5308;109736.1948;146566.5725;126375.8985;112186.4696;95198.36598;121136.1876;100358.4191;85220.47983;68303.42766;61982.44005;45439.91999;69193.34934;65072.37885;60773.38764;58084.46033;52517.0656;45406.82598;0;28808.80958;88773.21497;81918.75526;76177.98991;56775.15281;52809.1171;49310.52943;73632.95081;45762.53015;35798.59462;29398.14326;26648.11983;131433.9869;108302.6844;86000.04167;113968.8917;87080.36545;59405.96083;35141.8961;15635.36403;0;101679.9091;120624.3506;109727.9032;66580.21503;37319.83706;93043.36115;27664.71392;28032.62537;35118.69958;16196.93174;7568.109474;11119.65454;6521.240467;12267.94795;68079.27801;68766.71944;142999.2587;41170.80102;41085.82693;32539.25426;29621.00597;7768.483203;176078.0034;84794.20445;142920.6287;156606.1915;49247.68315;61662.60737;41255.36324;22608.76414;22641.72003;7364.557239;32261.24374;15033.90656;6685.686096;4654.089382;14691.13418;-3232.331054;37733.67184;26115.28403;13563.76077;13555.11537;9842.255215;3942.545393;56391.28883;33595.04508;19613.19973;14751.57778;7100.415336;56993.25876;-1800.732586;-7582.46989;-19672.09922;-24920.39654;-19672.09922;-47362.63488;21032.6187;2488.122703;14690.8871;24256.87851;14690.8871;38312.82013;8438.580186;48140.22448;27638.73395;23400.11013;39340.98547;107255.4049;4767.589405;34181.66751;2926.507951;11120.61157;3976.572038;3976.665986;-3.530896175;50424.35184;59326.24821;68694.4469;37357.36905;27165.06325;23115.92585;16192.49151;59920.27788;10060.69685;363.5104304;8597.3825;8040.475779;4343.047483;12919.46558;4200.80391;2391.063533;1049.40547;11108.62689;2399.250496;-1705.287814;3526.610726;-886.9865555;16061.72644;54740.7815;16934.62566;8770.510816;-207.2681777;60665.32258;54313.8613;16061.18846;48692.17247;73575715310
17;154653.0229;149813.4398;143705.9125;136261.175;117350.3309;107441.2727;92805.97824;82822.22714;78854.74685;72374.29948;108667.2643;89456.20366;72246.213;69844.26616;57079.2828;128867.2467;122662.4821;109736.1643;146566.5271;126375.6235;112185.9897;95198.31169;121136.2308;100358.3799;85220.41749;68303.33909;61982.49427;45440.06653;69193.30165;65072.31879;60773.35433;58084.61084;52517.20866;45406.94831;0;28808.85606;88773.22577;81918.83671;76178.27051;56775.20486;52809.16356;49310.57715;73632.93679;45762.53943;35798.58312;29398.13793;26648.17622;131434.1026;108302.7067;86000.03308;113968.8814;87080.3262;59405.90039;35141.82745;15635.32566;0;101679.8118;120624.109;109727.8738;66579.95084;37319.7924;93043.32538;27664.76315;28032.4523;35118.61448;16196.94906;7568.10709;11119.65949;6521.250519;12267.9652;68079.24417;68766.68307;142999.2162;41170.79171;41085.81919;32539.25322;29621.00112;7768.502039;176077.9832;84794.1703;142920.5863;156605.8079;49247.67659;61662.60476;41255.35626;22608.73894;22641.70485;7364.523373;32261.25541;15033.89005;6685.65223;4654.080671;14691.05684;-3232.313654;37733.72408;26115.28787;13563.77234;13555.12693;9842.261962;3942.538006;56391.27293;33595.11465;19613.15043;14751.55744;7100.403475;56993.23921;-1800.737757;-7582.494717;-19672.11838;-24920.40243;-19672.11838;-47362.62402;21032.60352;2488.075251;14690.80976;24256.83651;14690.80976;26273.60774;8438.569723;48140.26712;27638.75151;23400.16311;39341.07047;107255.3872;4767.615207;34181.73397;2926.507839;11120.65161;3976.599694;3976.693642;-3.533061116;50424.44002;59326.29908;68694.45135;37357.37995;27165.0527;23115.23678;16192.49512;59920.36192;10060.718;363.5180514;8597.400921;8040.498286;4343.051127;12919.46517;4200.803668;2391.076925;1049.405512;11108.61407;2399.263933;-1705.291477;3526.629599;-886.9884608;16061.79773;54740.94775;16934.67984;8770.510816;-207.2686225;60665.48622;54313.96018;16061.25975;48692.2536;73516343337
18;154571.4058;149736.6708;143637.0671;136260.6126;117351.7199;107441.6667;92805.58895;82821.33898;78853.13878;72372.47061;108665.3981;89454.39258;72244.39907;69837.63878;57069.07891;128864.8174;122660.0403;109733.3013;146563.5596;126371.3729;112189.9453;95196.24272;121133.3356;100357.134;85219.02371;68302.51534;61980.53625;45418.00556;69182.13856;65060.94429;60761.93559;58062.24647;52493.20371;45384.3763;0;28801.08078;88771.33209;81916.58489;76176.00053;56773.3385;52807.24405;49308.71579;73692.00969;45758.30017;35792.13665;29392.01494;26642.83284;131453.4314;108321.8728;86019.63625;113984.1228;87041.79464;59409.91438;35148.64287;15636.97759;0;101563.2663;120420.8034;109528.4176;66160.13988;37320.56436;93043.45906;27665.69865;28110.38639;35120.50201;16197.35758;7568.313611;11119.86935;6521.485687;12268.06802;68068.25587;68755.58378;142997.651;40814.56436;41087.80908;32546.85027;29622.13211;7768.609966;176080.0515;84784.02101;142919.0219;156619.2483;49246.84592;61661.24969;41255.08339;22610.23312;33972.64549;7365.55922;32264.61584;15035.65876;6687.013455;4654.484962;26023.73904;8098.070429;37734.67085;26116.29649;13564.28055;13555.63482;9842.527444;3942.577532;56390.95008;33587.05927;19614.28422;26089.31791;18436.73491;56986.04138;-1805.192894;-7586.812705;-19676.95411;-24925.689;-19676.95411;-47368.89175;32363.88036;13819.71018;26023.49197;35587.93385;26023.49197;26281.56586;8438.431936;48140.66096;27638.7839;23400.02171;39342.51788;107253.8062;4767.624351;34182.3659;2926.499108;11326.5085;4158.55907;4158.648763;5.824387888;50412.99341;59324.48154;68693.04191;37354.29986;27162.23541;23114.99056;16190.59352;59908.82359;10058.88071;363.566731;8595.464073;8038.497482;4342.942153;12919.4283;4199.189701;2391.066442;1049.222595;11108.86488;2399.253414;-1705.278328;3526.442923;-886.9816216;16061.13104;54729.7257;16933.37772;8770.436802;-207.2670258;60654.72492;54302.99932;16060.60754;48681.23779;73803768910
19;154571.6723;149736.9005;143637.3233;136261.0193;117354.6094;107444.6489;92808.52352;82824.13567;78855.65485;72374.94981;108665.5051;89454.24379;72244.47217;69837.82223;57069.27232;128864.9215;122660.181;109733.411;146563.732;126373.8081;112190.6349;95196.44871;121133.3948;100356.9803;85219.2323;68302.75967;61980.73936;45418.32617;69182.18528;65060.97261;60761.92477;58062.52734;52493.46457;45384.61103;0;28801.19812;88771.4387;81916.77824;76176.1525;56773.4085;52807.29661;49308.80584;73691.95012;45758.40433;35792.2444;29392.1314;26642.82904;131453.5378;108322.2695;86023.90372;113987.3328;87041.50676;59408.91941;35146.3532;15636.92533;0;101569.6184;120433.4472;109537.4089;66179.16911;37320.68769;93043.50349;27665.80016;28110.38264;35120.54654;16197.39509;7568.341465;11119.92474;6521.529993;12268.12003;68068.29436;68755.62266;142997.7577;40828.73425;41087.51837;32545.79222;29622.35099;7768.68154;176081.2666;84784.05986;142919.1285;156618.7274;49246.87635;61661.27866;41255.04023;22610.24004;22642.21932;7365.488444;32264.45366;15035.55317;6686.942679;4654.483713;14693.16239;-3232.338475;37734.57822;26116.31017;13564.21122;13555.56553;9842.467849;3942.558349;56390.96215;33587.17485;19614.19901;14746.76582;7095.878549;56986.18057;-1805.282544;-7586.97577;-19677.15704;-24925.87447;-19677.15704;-47369.28136;21033.45332;2489.174117;14692.91531;24257.47021;14692.91531;26281.49219;8438.496621;48140.52346;27638.68;23400.15997;39342.59454;107253.6728;4767.678649;34182.6616;2926.498823;11325.81942;4158.011071;4158.100764;5.278338881;50413.1228;59324.58939;68693.07744;37354.39561;27162.27016;23114.56988;16190.59023;59908.95693;10058.86369;363.5718352;8595.451639;8038.524615;4342.950681;12919.44991;4199.199521;2391.094482;1049.221544;11108.83481;2399.281548;-1705.287948;3526.492961;-886.9866252;16061.29604;54729.77642;16933.36212;8770.435013;-207.268194;60654.80916;54303.09164;16060.77254;48681.37449;73512134391
20;154573.6745;149738.489;143639.4082;136263.5761;117357.2283;107448.0965;92813.71746;82824.73975;78856.73906;72376.83446;108667.0431;89454.69299;72245.79281;69836.7998;57069.76399;128867.5632;122662.3315;109735.5123;146566.2115;126374.4529;112174.5989;95197.7109;121135.3111;100358.3779;85220.65809;68305.84359;61983.77572;45414.4099;69177.95539;65056.67702;60757.72845;58054.60903;52486.11702;45377.50863;0;28797.48806;88773.131;81918.14293;76176.54699;56773.44793;52806.88658;49308.57396;73690.71489;45757.02569;35788.79114;29388.29311;26639.59423;131447.7184;108317.6677;86022.20453;113984.2066;87039.29485;59410.23019;35150.81795;15634.43754;0;101679.2896;120622.2209;109724.2436;66581.66918;37316.75557;93044.41108;27662.63517;28106.26447;35117.15475;16195.9796;7567.807272;11118.57298;6520.646557;12266.84638;68064.35476;68751.64326;143001.3744;40853.34752;41086.85728;32542.92031;29618.86764;7767.639077;176080.3809;84780.20937;142922.7432;156596.2133;49248.46721;61663.09222;41255.90243;22608.62228;33973.09482;7365.775453;32261.48929;15034.40525;6686.634956;4653.851924;26021.24411;8097.244543;37730.91155;26112.82094;13562.85317;13554.20835;9841.442469;3942.225701;56390.4478;33582.85512;19612.18089;14750.28156;7100.055762;56992.31141;-1801.165944;-7582.209805;-19670.87478;-24918.8377;-19670.87478;-47359.79182;32364.11844;13819.01014;26020.99704;35587.95267;26020.99704;26277.18845;8438.046879;48135.03521;27635.60957;23397.49607;39338.5631;107254.9382;4767.199389;34177.97624;2926.246943;11169.53745;4020.291928;4020.383825;2.237247426;50414.48212;59324.47939;68694.30027;37354.64853;27163.1945;23113.06837;16190.70087;59909.4075;10059.36481;363.4903777;8596.054911;8039.774483;4342.982725;12919.18562;4199.925981;2390.861723;1049.233233;11107.21273;2399.048016;-1705.104465;3526.197267;-886.8911875;16060.17955;54820.82143;16931.47453;8769.377736;-207.2459128;60654.13741;54304.14205;16059.64669;48683.17257;73532561954
</END>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
