<BEGIN>
ID;Name;New maximum reservoir volume (hm3);New minimum reservoir volume (hm3)
149;GUAPORÉ;22.63;20.58;
150;SAMUEL;3493.44;943.23;
151;BALBINA;20006.22;9711.9;
152;SANTO ANTÔNIO JARI;133.39;104.61;
153;SINOP;3071.2;1012.4;
154;COLÍDER;1525.0;1427.48;
155;SÃO MANOEL;570.08;490.27;
156;CURUÁ-UNA;602.0;130.6;
157;CACHOEIRA CALDEIRÃO;230.56;230.56;
158;COARACY NUNES;138.8;24.57;
159;FERREIRA GOMES;137.31;120.4;
160;FONTES BC;38.0;36.0;
</END>
