<BEGIN>
<Thermal plants>
ID;Name;Generation in time t = -1 in MW;State in t = -1. Either 1, if up, or 0, if down;Start-up trajectory (TRUE or FALSE);Shut-down trajectory (TRUE or FALSE);Number of hours (> 0) in the state of t = -1
94;M.COVAS-unit1;0;0;FALSE;FALSE;1657
95;M.COVAS-unit2;0;0;FALSE;FALSE;1657
96;M.COVAS-unit3;0;0;FALSE;FALSE;1657
97;NPIRATININGA-unit1;0;0;FALSE;FALSE;6936
98;NPIRATININGA-unit2;0;0;FALSE;FALSE;6936
99;NPIRATININGA-unit3;0;0;FALSE;FALSE;6936
100;NPIRATININGA-unit4;0;0;FALSE;FALSE;6399
101;NPIRATININGA-unit5;0;0;FALSE;FALSE;6399
102;NPIRATININGA-unit6;0;0;FALSE;FALSE;3395
103;TERMOMACAE-unit1;0;0;FALSE;FALSE;1484
104;TERMOMACAE-unit2;0;0;FALSE;FALSE;3888
105;TERMOMACAE-unit3;0;0;FALSE;FALSE;3888
106;TERMOMACAE-unit4;0;0;FALSE;FALSE;3888
107;TERMOMACAE-unit5;0;0;FALSE;FALSE;3888
108;TERMOMACAE-unit6;0;0;FALSE;FALSE;3888
109;TERMOMACAE-unit7;0;0;FALSE;FALSE;3888
110;TERMOMACAE-unit8;0;0;FALSE;FALSE;3888
111;TERMOMACAE-unit9;0;0;FALSE;FALSE;3888
112;TERMOMACAE-unit10;0;0;FALSE;FALSE;3888
113;TERMOMACAE-unit11;0;0;FALSE;FALSE;3888
114;TERMOMACAE-unit12;0;0;FALSE;FALSE;1488
115;TERMOMACAE-unit13;0;0;FALSE;FALSE;3888
116;TERMOMACAE-unit14;0;0;FALSE;FALSE;1588
117;TERMOMACAE-unit15;0;0;FALSE;FALSE;3888
118;TERMOMACAE-unit16;0;0;FALSE;FALSE;3888
119;TERMOMACAE-unit17;0;0;FALSE;FALSE;3888
120;TERMOMACAE-unit18;0;0;FALSE;FALSE;3888
121;TERMOMACAE-unit19;0;0;FALSE;FALSE;1488
122;TERMOMACAE-unit20;0;0;FALSE;FALSE;3888
123;S.TIARAJU(L)-gas;0;0;FALSE;FALSE;1008
124;S.TIARAJU(L)-steam;0.0;0;FALSE;FALSE;3600
125;TNORTE 2-unit1;0;0;FALSE;FALSE;3888
126;TNORTE 2-unit2;0;0;FALSE;FALSE;3888
127;TNORTE 2-unit3;0;0;FALSE;FALSE;3888
128;TNORTE 2-unit4;0;0;FALSE;FALSE;3888
129;APAREC B1-unit1;43.0;1;FALSE;FALSE;219
130;APAREC B1-unit2;0;0;FALSE;FALSE;268
131;APAREC B1-unit3;0;0;FALSE;FALSE;1
132;APAREC B1-unit4;40.0;1;FALSE;FALSE;62
133;SUZANO MA;0.0;0;FALSE;FALSE;3600
134;ANGRA 2;1350.0;1;FALSE;FALSE;3888
135;ANGRA 1;0;0;FALSE;FALSE;624
136;CRIST.ROCHA-unit1;17.1;1;FALSE;FALSE;4220
137;CRIST.ROCHA-unit2;13.699999999999998;1;FALSE;FALSE;72
138;CRIST.ROCHA-unit3;17.1;1;FALSE;FALSE;24
139;CRIST.ROCHA-unit4;0;0;FALSE;FALSE;1
140;CRIST.ROCHA-unit5;17.0;1;FALSE;FALSE;1
141;TAMBAQUI-unit1;0;0;FALSE;FALSE;766
142;TAMBAQUI-unit2;35.0;1;FALSE;FALSE;2344
143;TAMBAQUI-unit3;25.0;1;FALSE;FALSE;1488
144;MARACANAU-unit1;0;0;FALSE;FALSE;1533
145;MARACANAU-unit2;0;0;FALSE;FALSE;4220
146;MARACANAU-unit3;0;0;FALSE;FALSE;1533
147;MARACANAU-unit4;0;0;FALSE;FALSE;1533
148;MARACANAU-unit5;0;0;FALSE;FALSE;1533
149;MARACANAU-unit6;0;0;FALSE;FALSE;1533
150;MARACANAU-unit7;0;0;FALSE;FALSE;1533
151;MARACANAU-unit8;0;0;FALSE;FALSE;1533
152;T.NORDESTE-unit1;0;0;FALSE;FALSE;2118
153;T.NORDESTE-unit2;0;0;FALSE;FALSE;1725
154;T.NORDESTE-unit3;0;0;FALSE;FALSE;2118
155;T.PARAIBA-unit1;0;0;FALSE;FALSE;1526
156;T.PARAIBA-unit2;0;0;FALSE;FALSE;487
157;T.PARAIBA-unit3;0;0;FALSE;FALSE;1516
158;GERAMAR I-unit1;0;0;FALSE;FALSE;4220
159;GERAMAR I-unit2;0;0;FALSE;FALSE;4220
160;GERAMAR I-unit3;0;0;FALSE;FALSE;4220
161;GERAMAR I-unit4;0;0;FALSE;FALSE;4220
162;GERAMAR I-unit5;0.0;0;FALSE;FALSE;3600
163;GERAMAR I-unit6;0.0;0;FALSE;FALSE;3600
164;GERAMAR I-unit7;0.0;0;FALSE;FALSE;3600
165;GERAMAR I-unit8;0.0;0;FALSE;FALSE;3600
166;GERAMAR I-unit9;0.0;0;FALSE;FALSE;3600
167;GERAMAR I-unit10;0.0;0;FALSE;FALSE;3600
168;GERAMAR I-unit11;0.0;0;FALSE;FALSE;3600
169;GERAMAR I-unit12;0.0;0;FALSE;FALSE;3600
170;GERAMAR I-unit13;0.0;0;FALSE;FALSE;3600
171;GERAMAR I-unit14;0.0;0;FALSE;FALSE;3600
172;GERAMAR I-unit15;0.0;0;FALSE;FALSE;3600
173;GERAMAR I-unit16;0.0;0;FALSE;FALSE;3600
174;GERAMAR I-unit17;0.0;0;FALSE;FALSE;3600
175;GERAMAR I-unit18;0.0;0;FALSE;FALSE;3600
176;GERAMAR I-unit19;0.0;0;FALSE;FALSE;3600
177;GERAMAR II-unit1;0;0;FALSE;FALSE;4220
178;GERAMAR II-unit2;0;0;FALSE;FALSE;4220
179;GERAMAR II-unit3;0;0;FALSE;FALSE;4220
180;GERAMAR II-unit4;0;0;FALSE;FALSE;4220
181;GERAMAR II-unit5;0.0;0;FALSE;FALSE;3600
182;GERAMAR II-unit6;0.0;0;FALSE;FALSE;3600
183;GERAMAR II-unit7;0.0;0;FALSE;FALSE;3600
184;GERAMAR II-unit8;0.0;0;FALSE;FALSE;3600
185;GERAMAR II-unit9;0.0;0;FALSE;FALSE;3600
186;GERAMAR II-unit10;0.0;0;FALSE;FALSE;3600
187;GERAMAR II-unit11;0.0;0;FALSE;FALSE;3600
188;GERAMAR II-unit12;0.0;0;FALSE;FALSE;3600
189;GERAMAR II-unit13;0.0;0;FALSE;FALSE;3600
190;GERAMAR II-unit14;0.0;0;FALSE;FALSE;3600
191;GERAMAR II-unit15;0.0;0;FALSE;FALSE;3600
192;GERAMAR II-unit16;0.0;0;FALSE;FALSE;3600
193;GERAMAR II-unit17;0.0;0;FALSE;FALSE;3600
194;GERAMAR II-unit18;0.0;0;FALSE;FALSE;3600
195;GERAMAR II-unit19;0.0;0;FALSE;FALSE;3600
196;UTE VIANA-unit1;0;0;FALSE;FALSE;2104
197;UTE VIANA-unit2;0;0;FALSE;FALSE;2080
198;UTE VIANA-unit3;0;0;FALSE;FALSE;2080
199;UTE VIANA-unit4;0;0;FALSE;FALSE;2080
