<BEGIN>;;;;;;;;;;;;;;
<Hydro generating units>;;;;;;;;;;;;;;
ID;Name;Hydro plant ID;Hydro plant name;Group ID;Group name;Bus ID;Minimum generation (MW);Maximum generation (MW);Minimum turbine discharge (m3/s);Maximum turbine discharge (m3/s);Turbine or Pump?;Conversion rate MW/(m3/s/) for pumps;ID Bus - DESSEM;Comments
5;G5-TRES IRMAOS;33;TRES IRMAOS;1;Group 1;520;140;161.5;265;441;Turbine;0;520;
1;G1-I. SOLTEIRA;6;I. SOLTEIRA;1;Group 1;501;130;176;288;480;Turbine;0;501;
2;G2-I. SOLTEIRA;6;I. SOLTEIRA;1;Group 1;501;130;176;288;480;Turbine;0;501;
3;G3-I. SOLTEIRA;6;I. SOLTEIRA;1;Group 1;501;130;176;288;480;Turbine;0;501;
4;G4-I. SOLTEIRA;6;I. SOLTEIRA;1;Group 1;501;130;176;288;480;Turbine;0;501;
5;G5-I. SOLTEIRA;6;I. SOLTEIRA;2;Group 2;501;90;170;278.4;464;Turbine;0;501;
6;G6-I. SOLTEIRA;6;I. SOLTEIRA;2;Group 2;501;90;170;278.4;464;Turbine;0;501;
7;G7-I. SOLTEIRA;6;I. SOLTEIRA;2;Group 2;501;90;170;278.4;464;Turbine;0;501;
8;G8-I. SOLTEIRA;6;I. SOLTEIRA;2;Group 2;501;90;170;278.4;464;Turbine;0;501;
9;G9-I. SOLTEIRA;6;I. SOLTEIRA;2;Group 2;501;90;170;278.4;464;Turbine;0;501;
10;G10-I. SOLTEIRA;6;I. SOLTEIRA;2;Group 2;501;90;170;278.4;464;Turbine;0;501;
11;G11-I. SOLTEIRA;6;I. SOLTEIRA;2;Group 2;501;90;170;278.4;464;Turbine;0;501;
12;G12-I. SOLTEIRA;6;I. SOLTEIRA;2;Group 2;501;90;170;278.4;464;Turbine;0;501;
13;G13-I. SOLTEIRA;6;I. SOLTEIRA;2;Group 2;501;90;170;278.4;464;Turbine;0;501;
14;G14-I. SOLTEIRA;6;I. SOLTEIRA;2;Group 2;501;90;170;278.4;464;Turbine;0;501;
15;G15-I. SOLTEIRA;6;I. SOLTEIRA;2;Group 2;501;90;170;278.4;464;Turbine;0;501;
16;G16-I. SOLTEIRA;6;I. SOLTEIRA;3;Group 3;501;90;174;285;475;Turbine;0;501;
17;G17-I. SOLTEIRA;6;I. SOLTEIRA;3;Group 3;501;90;174;285;475;Turbine;0;501;
18;G18-I. SOLTEIRA;6;I. SOLTEIRA;3;Group 3;501;90;174;285;475;Turbine;0;501;
19;G19-I. SOLTEIRA;6;I. SOLTEIRA;3;Group 3;501;90;174;285;475;Turbine;0;501;
20;G20-I. SOLTEIRA;6;I. SOLTEIRA;3;Group 3;501;90;174;285;475;Turbine;0;501;
1;G1-SAO SIMAO;11;SAO SIMAO;1;Group 1;303;235;285;425;445;Turbine;0;303;
2;G2-SAO SIMAO;11;SAO SIMAO;1;Group 1;303;235;285;425;445;Turbine;0;303;
3;G3-SAO SIMAO;11;SAO SIMAO;1;Group 1;303;235;285;425;445;Turbine;0;303;
4;G4-SAO SIMAO;11;SAO SIMAO;1;Group 1;303;235;285;425;445;Turbine;0;303;
5;G5-SAO SIMAO;11;SAO SIMAO;1;Group 1;303;235;285;425;445;Turbine;0;303;
6;G6-SAO SIMAO;11;SAO SIMAO;1;Group 1;303;235;285;425;445;Turbine;0;303;
1;G1-CACH.DOURADA;35;CACH.DOURADA;1;Group 1;750;0;17;40.2;67;Turbine;0;750;
2;G2-CACH.DOURADA;35;CACH.DOURADA;1;Group 1;750;0;17;40.2;67;Turbine;0;750;
3;G3-CACH.DOURADA;35;CACH.DOURADA;2;Group 2;751;0;54;127.8;213;Turbine;0;751;
4;G4-CACH.DOURADA;35;CACH.DOURADA;2;Group 2;751;0;54;127.8;213;Turbine;0;751;
5;G5-CACH.DOURADA;35;CACH.DOURADA;2;Group 2;752;0;54;127.8;213;Turbine;0;752;
6;G6-CACH.DOURADA;35;CACH.DOURADA;3;Group 3;753;0;84;198.6;331;Turbine;0;753;
7;G7-CACH.DOURADA;35;CACH.DOURADA;3;Group 3;753;0;84;198.6;331;Turbine;0;753;
8;G8-CACH.DOURADA;35;CACH.DOURADA;3;Group 3;753;0;84;198.6;331;Turbine;0;753;
9;G9-CACH.DOURADA;35;CACH.DOURADA;4;Group 4;754;0;105;241.2;402;Turbine;0;754;
10;G10-CACH.DOURADA;35;CACH.DOURADA;4;Group 4;754;0;105;241.2;402;Turbine;0;754;
1;G1-ITUMBIARA;9;ITUMBIARA;1;Group 1;18;200;347;375;537;Turbine;0;18;
2;G2-ITUMBIARA;9;ITUMBIARA;1;Group 1;18;200;347;375;537;Turbine;0;18;
3;G3-ITUMBIARA;9;ITUMBIARA;1;Group 1;18;200;347;375;537;Turbine;0;18;
4;G4-ITUMBIARA;9;ITUMBIARA;1;Group 1;18;200;347;375;537;Turbine;0;18;
5;G5-ITUMBIARA;9;ITUMBIARA;1;Group 1;18;200;347;375;537;Turbine;0;18;
6;G6-ITUMBIARA;9;ITUMBIARA;1;Group 1;18;200;347;375;537;Turbine;0;18;
1;G1-EMBORCACAO;25;EMBORCACAO;1;Group 1;300;112;298;157.2;262;Turbine;0;300;
2;G2-EMBORCACAO;25;EMBORCACAO;1;Group 1;300;112;298;157.2;262;Turbine;0;300;
3;G3-EMBORCACAO;25;EMBORCACAO;1;Group 1;300;112;298;157.2;262;Turbine;0;300;
4;G4-EMBORCACAO;25;EMBORCACAO;1;Group 1;300;112;298;157.2;262;Turbine;0;300;
1;G1-A. VERMELHA;20;A. VERMELHA;1;Group 1;500;55;232.7;295.8;493;Turbine;0;500;
2;G2-A. VERMELHA;20;A. VERMELHA;1;Group 1;500;55;232.7;295.8;493;Turbine;0;500;
3;G3-A. VERMELHA;20;A. VERMELHA;1;Group 1;500;55;232.7;295.8;493;Turbine;0;500;
4;G4-A. VERMELHA;20;A. VERMELHA;1;Group 1;500;55;232.7;295.8;493;Turbine;0;500;
5;G5-A. VERMELHA;20;A. VERMELHA;1;Group 1;500;55;232.7;295.8;493;Turbine;0;500;
6;G6-A. VERMELHA;20;A. VERMELHA;1;Group 1;500;55;232.7;295.8;493;Turbine;0;500;
1;G1-MARIMBONDO;15;MARIMBONDO;1;Group 1;20;110;190;290;368;Turbine;0;20;
2;G2-MARIMBONDO;15;MARIMBONDO;1;Group 1;20;110;190;290;368;Turbine;0;20;
3;G3-MARIMBONDO;15;MARIMBONDO;1;Group 1;20;110;190;290;368;Turbine;0;20;
4;G4-MARIMBONDO;15;MARIMBONDO;1;Group 1;20;110;190;290;368;Turbine;0;20;
5;G5-MARIMBONDO;15;MARIMBONDO;1;Group 1;20;110;190;290;368;Turbine;0;20;
6;G6-MARIMBONDO;15;MARIMBONDO;1;Group 1;20;110;190;290;368;Turbine;0;20;
7;G7-MARIMBONDO;15;MARIMBONDO;1;Group 1;20;110;190;290;368;Turbine;0;20;
8;G8-MARIMBONDO;15;MARIMBONDO;1;Group 1;20;110;190;290;368;Turbine;0;20;
1;G1-LC BARRETO;27;LC BARRETO;1;Group 1;12;125;184;236.6;338;Turbine;0;12;The minimum turbine discharge was increased to 0.7 of the maximum
2;G2-LC BARRETO;27;LC BARRETO;1;Group 1;12;125;184;236.6;338;Turbine;0;12;The minimum turbine discharge was increased to 0.7 of the maximum
3;G3-LC BARRETO;27;LC BARRETO;1;Group 1;12;125;184;236.6;338;Turbine;0;12;The minimum turbine discharge was increased to 0.7 of the maximum
4;G4-LC BARRETO;27;LC BARRETO;1;Group 1;12;125;184;236.6;338;Turbine;0;12;The minimum turbine discharge was increased to 0.7 of the maximum
5;G5-LC BARRETO;27;LC BARRETO;1;Group 1;12;125;184;236.6;338;Turbine;0;12;The minimum turbine discharge was increased to 0.7 of the maximum
6;G6-LC BARRETO;27;LC BARRETO;1;Group 1;12;125;184;236.6;338;Turbine;0;12;The minimum turbine discharge was increased to 0.7 of the maximum
1;G1-FURNAS;21;FURNAS;1;Group 1;16;100;152;145;211;Turbine;0;16;
2;G2-FURNAS;21;FURNAS;1;Group 1;16;100;152;145;211;Turbine;0;16;
3;G3-FURNAS;21;FURNAS;1;Group 1;16;100;152;145;211;Turbine;0;16;
4;G4-FURNAS;21;FURNAS;1;Group 1;16;100;152;145;211;Turbine;0;16;
5;G5-FURNAS;21;FURNAS;1;Group 1;16;100;152;145;211;Turbine;0;16;
6;G6-FURNAS;21;FURNAS;1;Group 1;16;100;152;145;211;Turbine;0;16;
7;G7-FURNAS;21;FURNAS;1;Group 1;16;100;152;145;211;Turbine;0;16;Group changed after network reduction
8;G8-FURNAS;21;FURNAS;1;Group 1;16;100;152;145;211;Turbine;0;16;Group changed after network reduction
1;G1-TRES MARIAS;37;TRES MARIAS;1;Group 1;304;18;66;75;150;Turbine;0;304;
2;G2-TRES MARIAS;37;TRES MARIAS;1;Group 1;304;18;66;75;150;Turbine;0;304;
3;G3-TRES MARIAS;37;TRES MARIAS;1;Group 1;304;18;66;75;150;Turbine;0;304;
4;G4-TRES MARIAS;37;TRES MARIAS;1;Group 1;304;18;66;75;150;Turbine;0;304;
5;G5-TRES MARIAS;37;TRES MARIAS;1;Group 1;304;18;66;75;150;Turbine;0;304;
6;G6-TRES MARIAS;37;TRES MARIAS;1;Group 1;304;18;66;75;150;Turbine;0;304;
1;G1-ITAPARICA;16;ITAPARICA;1;Group 1;5051;180;250;450;551;Turbine;0;5051;
2;G2-ITAPARICA;16;ITAPARICA;1;Group 1;5051;180;250;450;551;Turbine;0;5051;
3;G3-ITAPARICA;16;ITAPARICA;1;Group 1;5051;180;250;450;551;Turbine;0;5051;
4;G4-ITAPARICA;16;ITAPARICA;1;Group 1;5054;180;250;450;551;Turbine;0;5054;Group changed after network reduction
5;G5-ITAPARICA;16;ITAPARICA;1;Group 1;5054;180;250;450;551;Turbine;0;5054;Group changed after network reduction
6;G6-ITAPARICA;16;ITAPARICA;1;Group 1;5054;180;250;450;551;Turbine;0;5054;Group changed after network reduction
1;G1-MOXOTO;36;MOXOTO;1;Group 1;5030;50;100;260;550;Turbine;0;5030;
2;G2-MOXOTO;36;MOXOTO;1;Group 1;5030;50;100;260;550;Turbine;0;5030;
3;G3-MOXOTO;36;MOXOTO;1;Group 1;5032;50;100;260;550;Turbine;0;5032;Group changed after network reduction
4;G4-MOXOTO;36;MOXOTO;1;Group 1;5032;50;100;260;550;Turbine;0;5032;Group changed after network reduction
1;G1-P.AFONSO 123;19;P.AFONSO 123;1;PA-1;5005;50;60;61;84;Turbine;0;5005;
2;G2-P.AFONSO 123;19;P.AFONSO 123;1;PA-1;5005;50;60;61;84;Turbine;0;5005;
3;G3-P.AFONSO 123;19;P.AFONSO 123;1;PA-1;5006;50;60;61;84;Turbine;0;5006;
4;G4-P.AFONSO 123;19;P.AFONSO 123;2;PA-2;5009;70;70;85;97;Turbine;0;5009;
5;G5-P.AFONSO 123;19;P.AFONSO 123;2;PA-2;5010;70;70;85;97;Turbine;0;5010;
6;G6-P.AFONSO 123;19;P.AFONSO 123;3;PA-3;5011;70;75;85;107;Turbine;0;5011;
7;G7-P.AFONSO 123;19;P.AFONSO 123;4;PA-4;5012;50;76;63;105;Turbine;0;5012;
8;G8-P.AFONSO 123;19;P.AFONSO 123;4;PA-4;5013;50;76;63;105;Turbine;0;5013;
9;G9-P.AFONSO 123;19;P.AFONSO 123;4;PA-4;5014;50;76;63;105;Turbine;0;5014;
10;G10-P.AFONSO 123;19;P.AFONSO 123;5;PA-5;5015;150;200;185;277;Turbine;0;5015;
11;G11-P.AFONSO 123;19;P.AFONSO 123;5;PA-5;5015;150;200;185;277;Turbine;0;5015;
12;G12-P.AFONSO 123;19;P.AFONSO 123;5;PA-5;5016;150;200;185;277;Turbine;0;5016;
13;G13-P.AFONSO 123;19;P.AFONSO 123;5;PA-5;5016;150;200;185;277;Turbine;0;5016;
1;G1-P.AFONSO 4;8;P.AFONSO 4;1;Group 1;5022;250;410;240;400;Turbine;0;5022;
2;G2-P.AFONSO 4;8;P.AFONSO 4;1;Group 1;5022;250;410;240;400;Turbine;0;5022;
3;G3-P.AFONSO 4;8;P.AFONSO 4;1;Group 1;5022;250;410;240;400;Turbine;0;5022;
4;G4-P.AFONSO 4;8;P.AFONSO 4;1;Group 1;5022;250;410;240;400;Turbine;0;5022;
5;G5-P.AFONSO 4;8;P.AFONSO 4;1;Group 1;5022;250;410;240;400;Turbine;0;5022;
6;G6-P.AFONSO 4;8;P.AFONSO 4;1;Group 1;5022;250;410;240;400;Turbine;0;5022;
1;G1-XINGO;7;XINGO;1;Group 1;5061;310;527;297.6;496;Turbine;0;5061;
2;G2-XINGO;7;XINGO;1;Group 1;5061;310;527;297.6;496;Turbine;0;5061;
3;G3-XINGO;7;XINGO;1;Group 1;5061;310;527;297.6;496;Turbine;0;5061;
4;G4-XINGO;7;XINGO;1;Group 1;5061;310;527;297.6;496;Turbine;0;5061;
5;G5-XINGO;7;XINGO;1;Group 1;5061;310;527;297.6;496;Turbine;0;5061;
6;G6-XINGO;7;XINGO;1;Group 1;5061;310;527;297.6;496;Turbine;0;5061;
1;G1-PIMENTAL;38;PIMENTAL;1;Group 1;6555;9.61;38.85;155.52;388.8;Turbine;0;6555;
2;G2-PIMENTAL;38;PIMENTAL;1;Group 1;6555;9.61;38.85;155.52;388.8;Turbine;0;6555;
3;G3-PIMENTAL;38;PIMENTAL;1;Group 1;6556;9.61;38.85;155.52;388.8;Turbine;0;6556;
4;G4-PIMENTAL;38;PIMENTAL;1;Group 1;6556;9.61;38.85;155.52;388.8;Turbine;0;6556;
5;G5-PIMENTAL;38;PIMENTAL;1;Group 1;6559;9.61;38.85;155.52;388.8;Turbine;0;6559;
6;G6-PIMENTAL;38;PIMENTAL;1;Group 1;6559;9.61;38.85;155.52;388.8;Turbine;0;6559;
1;G1-TELES PIRES;10;TELES PIRES;1;Group 1;4492;185;364;464.4;774;Turbine;0;4492;
2;G2-TELES PIRES;10;TELES PIRES;1;Group 1;4492;185;364;464.4;774;Turbine;0;4492;
3;G3-TELES PIRES;10;TELES PIRES;1;Group 1;4492;185;364;464.4;774;Turbine;0;4492;
4;G4-TELES PIRES;10;TELES PIRES;1;Group 1;4492;185;364;464.4;774;Turbine;0;4492;
5;G5-TELES PIRES;10;TELES PIRES;1;Group 1;4492;185;364;464.4;774;Turbine;0;4492;
1;G1-ITAIPU;1;ITAIPU;1;50 Hz;85;170;700;394.2;657;Turbine;0;85;
2;G2-ITAIPU;1;ITAIPU;1;50 Hz;85;170;700;394.2;657;Turbine;0;85;
3;G3-ITAIPU;1;ITAIPU;1;50 Hz;85;170;700;394.2;657;Turbine;0;85;
4;G4-ITAIPU;1;ITAIPU;1;50 Hz;85;170;700;394.2;657;Turbine;0;85;
5;G5-ITAIPU;1;ITAIPU;1;50 Hz;85;170;700;394.2;657;Turbine;0;85;
6;G6-ITAIPU;1;ITAIPU;1;50 Hz;85;170;700;394.2;657;Turbine;0;85;
7;G7-ITAIPU;1;ITAIPU;1;50 Hz;85;170;700;394.2;657;Turbine;0;85;
8;G8-ITAIPU;1;ITAIPU;1;50 Hz;85;170;700;394.2;657;Turbine;0;85;
9;G9-ITAIPU;1;ITAIPU;1;50 Hz;85;170;700;394.2;657;Turbine;0;85;
10;G10-ITAIPU;1;ITAIPU;1;50 Hz;85;170;700;394.2;657;Turbine;0;85;
11;G11-ITAIPU;1;ITAIPU;2;60 Hz;1107;170;700;394.2;657;Turbine;0;1107;
12;G12-ITAIPU;1;ITAIPU;2;60 Hz;1107;170;700;394.2;657;Turbine;0;1107;
13;G13-ITAIPU;1;ITAIPU;2;60 Hz;1107;170;700;394.2;657;Turbine;0;1107;
14;G14-ITAIPU;1;ITAIPU;2;60 Hz;1107;170;700;394.2;657;Turbine;0;1107;
15;G15-ITAIPU;1;ITAIPU;2;60 Hz;1107;170;700;394.2;657;Turbine;0;1107;
16;G16-ITAIPU;1;ITAIPU;2;60 Hz;1107;170;700;394.2;657;Turbine;0;1107;
17;G17-ITAIPU;1;ITAIPU;2;60 Hz;1107;170;700;394.2;657;Turbine;0;1107;
18;G18-ITAIPU;1;ITAIPU;2;60 Hz;1107;170;700;394.2;657;Turbine;0;1107;
19;G19-ITAIPU;1;ITAIPU;2;60 Hz;1107;170;700;394.2;657;Turbine;0;1107;
20;G20-ITAIPU;1;ITAIPU;2;60 Hz;1107;170;700;394.2;657;Turbine;0;1107;
1;G1-CHAVANTES;39;CHAVANTES;1;Group 1;514;50;103.5;96;160;Turbine;0;514;
2;G2-CHAVANTES;39;CHAVANTES;1;Group 1;514;50;103.5;96;160;Turbine;0;514;
3;G3-CHAVANTES;39;CHAVANTES;1;Group 1;514;50;103.5;96;160;Turbine;0;514;
4;G4-CHAVANTES;39;CHAVANTES;1;Group 1;514;50;103.5;96;160;Turbine;0;514;
1;G1-ROSANA;40;ROSANA;1;Group 1;511;40;88.5;262.5;525;Turbine;0;511;
2;G2-ROSANA;40;ROSANA;1;Group 1;511;40;88.5;262.5;525;Turbine;0;511;
3;G3-ROSANA;40;ROSANA;1;Group 1;511;40;88.5;262.5;525;Turbine;0;511;
4;G4-ROSANA;40;ROSANA;1;Group 1;511;40;88.5;262.5;525;Turbine;0;511;
1;G1-TAQUARUCU;41;TAQUARUCU;1;Group 1;513;40;105;241.92;483.84;Turbine;0;513;
2;G2-TAQUARUCU;41;TAQUARUCU;1;Group 1;513;40;105;241.92;483.84;Turbine;0;513;
3;G3-TAQUARUCU;41;TAQUARUCU;1;Group 1;513;40;105;241.92;483.84;Turbine;0;513;
4;G4-TAQUARUCU;41;TAQUARUCU;1;Group 1;513;40;105;241.92;483.84;Turbine;0;513;
5;G5-TAQUARUCU;41;TAQUARUCU;1;Group 1;513;40;105;241.92;483.84;Turbine;0;513;
1;G1-CAPIVARA;42;CAPIVARA;1;Group 1;507;63;163;320;398;Turbine;0;507;
2;G2-CAPIVARA;42;CAPIVARA;2;Group 2;507;80;152;386;410;Turbine;0;507;
3;G3-CAPIVARA;42;CAPIVARA;2;Group 2;507;80;152;386;410;Turbine;0;507;
4;G4-CAPIVARA;42;CAPIVARA;2;Group 2;507;80;152;386;410;Turbine;0;507;
1;G1-FONTES;43;FONTES;1;Group 1;253;0;44;10.2;17;Turbine;0;253;
1;G1-FONTES BC;162;FONTES BC;1;Group 1;253;0;44;10.2;17;Turbine;0;253;
2;G2-FONTES BC;162;FONTES BC;1;Group 1;253;0;44;10.2;17;Turbine;0;253;
1;G1-NILO PEÇANHA;44;NILO PEÇANHA;1;Group 1;250;0;48.97;10.8;18;Turbine;0;250;
2;G2-NILO PEÇANHA;44;NILO PEÇANHA;1;Group 1;250;0;48.97;10.8;18;Turbine;0;250;
3;G3-NILO PEÇANHA;44;NILO PEÇANHA;1;Group 2;250;0;72.44;16.2;27;Turbine;0;250;
4;G4-NILO PEÇANHA;44;NILO PEÇANHA;1;Group 2;250;0;72.44;16.2;27;Turbine;0;250;
5;G5-NILO PEÇANHA;44;NILO PEÇANHA;1;Group 2;250;0;72.44;16.2;27;Turbine;0;250;
6;G6-NILO PEÇANHA;44;NILO PEÇANHA;1;Group 2;250;0;72.44;16.2;27;Turbine;0;250;
1;G1-PEREIRA PASSOS;45;PEREIRA PASSOS;1;Group 1;255;0;51.02;95.4;159;Turbine;0;255;
2;G2-PEREIRA PASSOS;45;PEREIRA PASSOS;1;Group 1;255;0;51.02;95.4;159;Turbine;0;255;
1;G1-FUNIL;46;FUNIL;1;Group 1;14;45;74;75;126;Turbine;0;14;
2;G2-FUNIL;46;FUNIL;1;Group 1;14;45;74;75;126;Turbine;0;14;
3;G3-FUNIL;46;FUNIL;1;Group 1;14;45;74;75;126;Turbine;0;14;
1;G1-PARAIBUNA;48;PARAIBUNA;1;Group 1;526;0;43;36;60;Turbine;0;526;
2;G2-PARAIBUNA;48;PARAIBUNA;1;Group 1;526;0;43;36;60;Turbine;0;526;
1;G1-SANTA BRANCA;49; SANTA BRANCA;1;Group 1;296;0;28;43.2;72;Turbine;0;296;
2;G2-SANTA BRANCA;49; SANTA BRANCA;1;Group 1;296;0;28;43.2;72;Turbine;0;296;
1;G1-JAGUARI;50;JAGUARI;1;Group 1;525;0;14;19.2;32;Turbine;0;525;
2;G2-JAGUARI;50;JAGUARI;1;Group 1;525;0;14;19.2;32;Turbine;0;525;
1;G1-PICADA;54;PICADA;1;Group 1;4016;12.5;25;13.2;22;Turbine;0;4016;
2;G2-PICADA;54;PICADA;1;Group 1;4016;12.5;25;13.2;22;Turbine;0;4016;
1;G1-SOBRAGI;55;SOBRAGI;1;Group 1;317;11;18.8;18;30;Turbine;0;317;
2;G2-SOBRAGI;55;SOBRAGI;1;Group 1;317;11;18.8;18;30;Turbine;0;317;
3;G3-SOBRAGI;55;SOBRAGI;1;Group 1;317;11;18.8;18;30;Turbine;0;317;
1;G1-SIMPLÍCIO;56;SIMPLÍCIO;1;Group 1;9500;50;101.9;61.8;103;Turbine;0;9500;
2;G2-SIMPLÍCIO;56;SIMPLÍCIO;1;Group 1;9500;50;101.9;61.8;103;Turbine;0;9500;
3;G3-SIMPLÍCIO;56;SIMPLÍCIO;1;Group 1;9500;50;101.9;61.8;103;Turbine;0;9500;
1;G1-ILHA DOS POMBOS;57;ILHA DOS POMBOS;1;Group 1;257;9.64;27.9;63.6;106;Turbine;0;257;
2;G2-ILHA DOS POMBOS;57;ILHA DOS POMBOS;2;Group 2;257;9.6;27.8;63;105;Turbine;0;257;
3;G3-ILHA DOS POMBOS;57;ILHA DOS POMBOS;3;Group 3;257;11.17;32.61;74.4;124;Turbine;0;257;
4;G4-ILHA DOS POMBOS;57;ILHA DOS POMBOS;4;Group 4;257;17;50;114;190;Turbine;0;257;
5;G5-ILHA DOS POMBOS;57;ILHA DOS POMBOS;5;Group 5;257;17.18;52.39;119.4;199;Turbine;0;257;
1;PUMP-VIGÁRIO;53;VIGARIO;1;Group 1;262;0;0;0;190;Pump;0.44;262;
1;PUMP-SANTA CECÍLIA;51;SANTA CECÍLIA;1;Group 1;260;0;0;0;160;Pump;0.2;260;
1;G1-CORUMBÁ IV;58;CORUMBÁ IV;1;Group 1;3641;45;64.8;71.76;104;Turbine;0;3641;
2;G2-CORUMBÁ IV;58;CORUMBÁ IV;1;Group 1;3641;45;64.8;71.76;104;Turbine;0;3641;
1;G1-CORUMBÁ III;59;CORUMBÁ III;1;Group 1;3642;33;47.8;95.22;138;Turbine;0;3642;
2;G2-CORUMBÁ III;59;CORUMBÁ III;2;Group 2;3642;33.5;48.6;96.6;140;Turbine;0;3642;
1;G1-CORUMBÁ I;60;CORUMBÁ I;1;Group 1;35;86.25;125;131.11;190;Turbine;0;35;
2;G2-CORUMBÁ I;60;CORUMBÁ I;1;Group 1;35;86.25;125;131.11;190;Turbine;0;35;
3;G3-CORUMBÁ I;60;CORUMBÁ I;1;Group 1;35;86.25;125;131.11;190;Turbine;0;35;
1;G1-BATALHA;61;BATALHA;1;Group 1;9446;8;27;23.1;77;Turbine;0;9446;
2;G2-BATALHA;61;BATALHA;1;Group 1;9446;8;27;23.1;77;Turbine;0;9446;
1;G1-SERRA DO FACÃO;62;SERRA DO FACÃO;1;Group 1;3014;63.78;106.3;97.2;162;Turbine;0;3014;
2;G2-SERRA DO FACÃO;62;SERRA DO FACÃO;1;Group 1;3014;63.78;106.3;97.2;162;Turbine;0;3014;
1;G1-NOVA PONTE;63;NOVA PONTE;1;Group 1;302;102;170;115.2;192;Turbine;0;302;
2;G2-NOVA PONTE;63;NOVA PONTE;1;Group 1;302;102;170;115.2;192;Turbine;0;302;
3;G3-NOVA PONTE;63;NOVA PONTE;1;Group 1;302;102;170;115.2;192;Turbine;0;302;
1;G1-MIRANDA;64;MIRANDA;1;Group 1;312;80;136;135;225;Turbine;0;312;
2;G2-MIRANDA;64;MIRANDA;1;Group 1;312;80;136;135;225;Turbine;0;312;
3;G3-MIRANDA;64;MIRANDA;1;Group 1;312;80;136;135;225;Turbine;0;312;
1;G1-AMADOR AGUIAR I;65;AMADOR AGUIAR I;1;Group 1;4052;59.51;81;99;165;Turbine;0;4052;
2;G2-AMADOR AGUIAR I;65;AMADOR AGUIAR I;2;Group 2;4052;62.6;81;99;165;Turbine;0;4052;
3;G3-AMADOR AGUIAR I;65;AMADOR AGUIAR I;2;Group 2;4052;62.6;81;99;165;Turbine;0;4052;
1;G1-AMADOR AGUIAR II;66;AMADOR AGUIAR II;1;Group 1;4054;35;70;107.4;179;Turbine;0;4054;
2;G2-AMADOR AGUIAR II;66;AMADOR AGUIAR II;1;Group 1;4054;35;70;107.4;179;Turbine;0;4054;
3;G3-AMADOR AGUIAR II;66;AMADOR AGUIAR II;1;Group 1;4054;35;70;107.4;179;Turbine;0;4054;
1;G1-ESPORA;67;ESPORA;1;Group 1;3744;3.21;10.7;7.2;24;Turbine;0;3744;
2;G2-ESPORA;67;ESPORA;1;Group 1;3744;3.21;10.7;7.2;24;Turbine;0;3744;
3;G3-ESPORA;67;ESPORA;1;Group 1;3744;3.21;10.7;7.2;24;Turbine;0;3744;
1;G1-SALTO;68;SALTO;1;Group 1;9442;34.8;58;78;130;Turbine;0;9442;
2;G2-SALTO;68;SALTO;1;Group 1;9442;34.8;58;78;130;Turbine;0;9442;
1;G1-SALTO DO RIO VERDINHO;69;SALTO DO RIO VERDINHO;1;Group 1;9443;27.9;46.5;76.2;127;Turbine;0;9443;
2;G2-SALTO DO RIO VERDINHO;69;SALTO DO RIO VERDINHO;1;Group 1;9443;27.9;46.5;76.2;127;Turbine;0;9443;
1;G1-CAÇU;70;CAÇU;1;Group 1;9448;9.75;32.5;40.2;134;Turbine;0;9448;
2;G2-CAÇU;70;CAÇU;1;Group 1;9448;9.75;32.5;40.2;134;Turbine;0;9448;
1;G1-BARRA DOS COQUEIROS;71;BARRA DOS COQUEIROS;1;Group 1;9449;13.5;45;41.7;139;Turbine;0;9449;
2;G2-BARRA DOS COQUEIROS;71;BARRA DOS COQUEIROS;1;Group 1;9449;13.5;45;41.7;139;Turbine;0;9449;
1;G1-FOZ DO RIO CLARO;72;FOZ DO RIO CLARO;1;Group 1;9447;10.26;34.2;44.7;149;Turbine;0;9447;
2;G2-FOZ DO RIO CLARO;72;FOZ DO RIO CLARO;1;Group 1;9447;10.26;34.2;44.7;149;Turbine;0;9447;
1;G1-CAMARGOS;73;CAMARGOS;1;Group 1;1501;8.5;22.5;44;110;Turbine;0;1501;
2;G2-CAMARGOS;73;CAMARGOS;1;Group 1;1501;8.5;22.5;44;110;Turbine;0;1501;
1;G1-ITUTINGA;74;ITUTINGA;1;Group 1;1538;6;12.5;28.5;57;Turbine;0;1538;
2;G2-ITUTINGA;74;ITUTINGA;1;Group 1;1538;6;12.5;28.5;57;Turbine;0;1538;
3;G3-ITUTINGA;74;ITUTINGA;2;Group 2;1538;13;14;58;63;Turbine;0;1538;
4;G4-ITUTINGA;74;ITUTINGA;3;Group 3;1538;12;13.5;54;59;Turbine;0;1538;
1;G1-FUNIL GRANDE;75;FUNIL - GRANDE;1;Group 1;4044;19.3;60;78;195;Turbine;0;4044;
2;G2-FUNIL GRANDE;75;FUNIL - GRANDE;1;Group 1;4044;19.3;60;78;195;Turbine;0;4044;
3;G3-FUNIL GRANDE;75;FUNIL - GRANDE;1;Group 1;4044;19.3;60;78;195;Turbine;0;4044;
1;G1-MASCARENHAS DE MORAES;76;MASCARENHAS DE MORAES;1;Group 1;24;23;40;65.4;109;Turbine;0;24;
2;G2-MASCARENHAS DE MORAES;76;MASCARENHAS DE MORAES;1;Group 1;24;23;40;65.4;109;Turbine;0;24;
3;G3-MASCARENHAS DE MORAES;76;MASCARENHAS DE MORAES;2;Group 2;24;26;48;73.8;123;Turbine;0;24;
