<BEGIN>;;;;;;;;;;;;;;
<Hydro generating units>;;;;;;;;;;;;;;
ID;Name;Hydro plant ID;Hydro plant name;Group ID;Group name;Bus ID;Minimum generation (MW);Maximum generation (MW);Minimum turbine discharge (m3/s);Maximum turbine discharge (m3/s);Turbine or Pump?;Conversion rate MW/(m3/s/) for pumps;ID Bus - DESSEM;Comments
3;G3-TUCURUI;2;TUCURUI;2;Group 2;6419;203;350;349.2;582;Turbine;0;6419;
4;G4-TUCURUI;2;TUCURUI;2;Group 2;6419;203;350;349.2;582;Turbine;0;6419;
5;G5-TUCURUI;2;TUCURUI;2;Group 2;6419;203;350;349.2;582;Turbine;0;6419;
6;G6-TUCURUI;2;TUCURUI;2;Group 2;6419;203;350;349.2;582;Turbine;0;6419;
7;G7-TUCURUI;2;TUCURUI;2;Group 2;6422;203;350;349.2;582;Turbine;0;6422;The group has been changed after network reduction
8;G8-TUCURUI;2;TUCURUI;2;Group 2;6422;203;350;349.2;582;Turbine;0;6422;The group has been changed after network reduction
9;G9-TUCURUI;2;TUCURUI;2;Group 2;6422;203;350;349.2;582;Turbine;0;6422;The group has been changed after network reduction
10;G10-TUCURUI;2;TUCURUI;2;Group 2;6422;203;350;349.2;582;Turbine;0;6422;The group has been changed after network reduction
11;G11-TUCURUI;2;TUCURUI;2;Group 2;6424;203;350;349.2;582;Turbine;0;6424;The group has been changed after network reduction
12;G12-TUCURUI;2;TUCURUI;2;Group 2;6424;203;350;349.2;582;Turbine;0;6424;The group has been changed after network reduction
13;G13-TUCURUI;2;TUCURUI;2;Group 2;6424;203;350;349.2;582;Turbine;0;6424;The group has been changed after network reduction
14;G14-TUCURUI;2;TUCURUI;2;Group 2;6424;203;350;349.2;582;Turbine;0;6424;The group has been changed after network reduction
15;G15-TUCURUI;2;TUCURUI;3;Group 3;6420;300;390;397.2;662;Turbine;0;6420;
16;G16-TUCURUI;2;TUCURUI;3;Group 3;6420;300;390;397.2;662;Turbine;0;6420;
17;G17-TUCURUI;2;TUCURUI;3;Group 3;6420;300;390;397.2;662;Turbine;0;6420;
18;G18-TUCURUI;2;TUCURUI;3;Group 3;6424;300;390;397.2;662;Turbine;0;6424;The group has been changed after network reduction
19;G19-TUCURUI;2;TUCURUI;3;Group 3;6424;300;390;397.2;662;Turbine;0;6424;The group has been changed after network reduction
20;G20-TUCURUI;2;TUCURUI;3;Group 3;6424;300;390;397.2;662;Turbine;0;6424;The group has been changed after network reduction
21;G21-TUCURUI;2;TUCURUI;3;Group 3;6424;300;390;397.2;662;Turbine;0;6424;The group has been changed after network reduction
22;G22-TUCURUI;2;TUCURUI;3;Group 3;6425;300;390;397.2;662;Turbine;0;6425;The group has been changed after network reduction
23;G23-TUCURUI;2;TUCURUI;3;Group 3;6425;300;390;397.2;662;Turbine;0;6425;The group has been changed after network reduction
24;G24-TUCURUI;2;TUCURUI;3;Group 3;6425;300;390;397.2;662;Turbine;0;6425;The group has been changed after network reduction
25;G25-TUCURUI;2;TUCURUI;3;Group 3;6425;300;390;397.2;662;Turbine;0;6425;The group has been changed after network reduction
1;G1-BELO MONTE;3;BELO MONTE;1;Group 1;6729;450;611.1;600;768.4;Turbine;0;6729;
2;G2-BELO MONTE;3;BELO MONTE;1;Group 1;6729;450;611.1;600;768.4;Turbine;0;6729;
3;G3-BELO MONTE;3;BELO MONTE;1;Group 1;6729;450;611.1;600;768.4;Turbine;0;6729;
4;G4-BELO MONTE;3;BELO MONTE;1;Group 1;6729;450;611.1;600;768.4;Turbine;0;6729;
5;G5-BELO MONTE;3;BELO MONTE;1;Group 1;6729;450;611.1;600;768.4;Turbine;0;6729;
6;G6-BELO MONTE;3;BELO MONTE;1;Group 1;6729;450;611.1;600;768.4;Turbine;0;6729;
7;G7-BELO MONTE;3;BELO MONTE;1;Group 1;6729;450;611.1;600;768.4;Turbine;0;6729;
8;G8-BELO MONTE;3;BELO MONTE;1;Group 1;6729;450;611.1;600;768.4;Turbine;0;6729;
9;G9-BELO MONTE;3;BELO MONTE;1;Group 1;6729;450;611.1;600;768.4;Turbine;0;6729;
10;G10-BELO MONTE;3;BELO MONTE;1;Group 1;6729;450;611.1;600;768.4;Turbine;0;6729;
11;G11-BELO MONTE;3;BELO MONTE;1;Group 1;6729;450;611.1;600;768.4;Turbine;0;6729;
12;G12-BELO MONTE;3;BELO MONTE;1;Group 1;6729;450;611.1;600;768.4;Turbine;0;6729;
13;G13-BELO MONTE;3;BELO MONTE;1;Group 1;6729;450;611.1;600;768.4;Turbine;0;6729;
14;G14-BELO MONTE;3;BELO MONTE;1;Group 1;6729;450;611.1;600;768.4;Turbine;0;6729;
15;G15-BELO MONTE;3;BELO MONTE;1;Group 1;6729;450;611.1;600;768.4;Turbine;0;6729;
16;G16-BELO MONTE;3;BELO MONTE;1;Group 1;6729;450;611.1;600;768.4;Turbine;0;6729;
17;G17-BELO MONTE;3;BELO MONTE;1;Group 1;6729;450;611.1;600;768.4;Turbine;0;6729;
18;G18-BELO MONTE;3;BELO MONTE;1;Group 1;6729;450;611.1;600;768.4;Turbine;0;6729;
1;G1-STO ANTONIO;5;STO ANTONIO;1;5 blades;7062;11;69;227.2;568;Turbine;0;7062;
2;G2-STO ANTONIO;5;STO ANTONIO;1;5 blades;7062;11;69;227.2;568;Turbine;0;7062;
3;G3-STO ANTONIO;5;STO ANTONIO;1;5 blades;7062;11;69;227.2;568;Turbine;0;7062;
4;G4-STO ANTONIO;5;STO ANTONIO;1;5 blades;7062;11;69;227.2;568;Turbine;0;7062;
5;G5-STO ANTONIO;5;STO ANTONIO;1;5 blades;7050;11;69;227.2;568;Turbine;0;7050;The group has been changed after network reduction
6;G6-STO ANTONIO;5;STO ANTONIO;1;5 blades;7050;11;69;227.2;568;Turbine;0;7050;The group has been changed after network reduction
7;G7-STO ANTONIO;5;STO ANTONIO;1;5 blades;7050;11;69;227.2;568;Turbine;0;7050;The group has been changed after network reduction
8;G8-STO ANTONIO;5;STO ANTONIO;1;5 blades;7050;11;69;227.2;568;Turbine;0;7050;The group has been changed after network reduction
9;G9-STO ANTONIO;5;STO ANTONIO;1;5 blades;7050;11;69;227.2;568;Turbine;0;7050;The group has been changed after network reduction
10;G10-STO ANTONIO;5;STO ANTONIO;1;5 blades;7050;11;69;227.2;568;Turbine;0;7050;The group has been changed after network reduction
11;G11-STO ANTONIO;5;STO ANTONIO;1;5 blades;7050;11;69;227.2;568;Turbine;0;7050;The group has been changed after network reduction
12;G12-STO ANTONIO;5;STO ANTONIO;1;5 blades;7050;11;69;227.2;568;Turbine;0;7050;The group has been changed after network reduction
13;G13-STO ANTONIO;5;STO ANTONIO;2;4 blades;7062;21;73;239.2;598;Turbine;0;7062;
14;G14-STO ANTONIO;5;STO ANTONIO;2;4 blades;7062;21;73;239.2;598;Turbine;0;7062;
15;G15-STO ANTONIO;5;STO ANTONIO;2;4 blades;7062;21;73;239.2;598;Turbine;0;7062;
16;G16-STO ANTONIO;5;STO ANTONIO;2;4 blades;7062;21;73;239.2;598;Turbine;0;7062;
17;G17-STO ANTONIO;5;STO ANTONIO;2;4 blades;7062;21;73;239.2;598;Turbine;0;7062;
18;G18-STO ANTONIO;5;STO ANTONIO;2;4 blades;7062;21;73;239.2;598;Turbine;0;7062;
19;G19-STO ANTONIO;5;STO ANTONIO;2;4 blades;7062;21;73;239.2;598;Turbine;0;7062;
20;G20-STO ANTONIO;5;STO ANTONIO;2;4 blades;7062;21;73;239.2;598;Turbine;0;7062;
21;G21-STO ANTONIO;5;STO ANTONIO;1;5 blades;7064;11;69;227.2;568;Turbine;0;7064;The group has been changed after network reduction
22;G22-STO ANTONIO;5;STO ANTONIO;1;5 blades;7064;11;69;227.2;568;Turbine;0;7064;The group has been changed after network reduction
23;G23-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;21;73;239.2;598;Turbine;0;7064;The group has been changed after network reduction
24;G24-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;21;73;239.2;598;Turbine;0;7064;The group has been changed after network reduction
25;G25-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;21;73;239.2;598;Turbine;0;7064;The group has been changed after network reduction
26;G26-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;21;73;239.2;598;Turbine;0;7064;The group has been changed after network reduction
27;G27-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;21;73;239.2;598;Turbine;0;7064;The group has been changed after network reduction
28;G28-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;21;73;239.2;598;Turbine;0;7064;The group has been changed after network reduction
29;G29-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;21;73;239.2;598;Turbine;0;7064;The group has been changed after network reduction
30;G30-STO ANTONIO;5;STO ANTONIO;2;4 blades;7064;21;73;239.2;598;Turbine;0;7064;The group has been changed after network reduction
31;G31-STO ANTONIO;5;STO ANTONIO;1;5 blades;7064;11;69;227.2;568;Turbine;0;7064;The group has been changed after network reduction
32;G32-STO ANTONIO;5;STO ANTONIO;1;5 blades;7064;11;69;227.2;568;Turbine;0;7064;The group has been changed after network reduction
33;G33-STO ANTONIO;5;STO ANTONIO;1;5 blades;7064;11;69;227.2;568;Turbine;0;7064;The group has been changed after network reduction
34;G34-STO ANTONIO;5;STO ANTONIO;1;5 blades;7064;11;69;227.2;568;Turbine;0;7064;The group has been changed after network reduction
