<BEGIN>;;;;;;;;;;;;;;;;
<Hydro generating units>;;;;;;;;;;;;;;;;
ID;Name;Hydro plant ID;Hydro plant name;Group ID;Group name;Bus ID;Bus name;Minimum generation (MW);Maximum generation (MW);Minimum turbine discharge (m3/s);Maximum turbine discharge (m3/s);Turbine type;Turbine or Pump?;Conversion rate MW/(m3/s/) for pumps;ID Bus - DESSEM;Comments
50;G6-ESTREITO;28;ESTREITO TOC;1;Group 1;5595;name;80;135.9;471.6;786;Francis;Turbine;0;5595;
51;G7-ESTREITO;28;ESTREITO TOC;1;Group 1;5595;name;80;135.9;471.6;786;Francis;Turbine;0;5595;
52;G8-ESTREITO;28;ESTREITO TOC;1;Group 1;5595;name;80;135.9;471.6;786;Francis;Turbine;0;5595;
53;G1-TUCURUI;2;TUCURUI;1;Group 1;6425;name;0;22.5;0;37;Francis;Turbine;0;6425;
54;G2-TUCURUI;2;TUCURUI;1;Group 1;6425;name;0;22.5;0;37;Francis;Turbine;0;6425;
55;G3-TUCURUI;2;TUCURUI;2;Group 2;6419;name;203;350;349.2;582;Francis;Turbine;0;6419;
56;G4-TUCURUI;2;TUCURUI;2;Group 2;6419;name;203;350;349.2;582;Francis;Turbine;0;6419;
57;G5-TUCURUI;2;TUCURUI;2;Group 2;6419;name;203;350;349.2;582;Francis;Turbine;0;6419;
58;G6-TUCURUI;2;TUCURUI;2;Group 2;6419;name;203;350;349.2;582;Francis;Turbine;0;6419;
59;G7-TUCURUI;2;TUCURUI;2;Group 2;6422;name;203;350;349.2;582;Francis;Turbine;0;6422;The group has been changed after network reduction
60;G8-TUCURUI;2;TUCURUI;2;Group 2;6422;name;203;350;349.2;582;Francis;Turbine;0;6422;The group has been changed after network reduction
61;G9-TUCURUI;2;TUCURUI;2;Group 2;6422;name;203;350;349.2;582;Francis;Turbine;0;6422;The group has been changed after network reduction
62;G10-TUCURUI;2;TUCURUI;2;Group 2;6422;name;203;350;349.2;582;Francis;Turbine;0;6422;The group has been changed after network reduction
