<BEGIN>;;;;;;
<Buses>;;;;;;
ID;Name;Reference bus;Base voltage (kV);Area;Subsystem market - Name;Subsystem market - ID
109;BYPSAD-RJ500;;500;1;SUDESTE/CENTRO-OESTE;1
110;GR1T52-RJ000;;1.1;1;SUDESTE/CENTRO-OESTE;1
112;BA-IB1-PR500;;500;1;SUL;2
113;BA-IB2-PR500;;500;1;SUL;2
114;BA-IT1-PR500;;500;71;SUDESTE/CENTRO-OESTE;1
115;BA-IT1CAP500;;500;71;SUDESTE/CENTRO-OESTE;1
116;IMBTAP-RJ138;;138;1;SUDESTE/CENTRO-OESTE;1
118;BANDT4-GO000;;1.1;1;SUDESTE/CENTRO-OESTE;1
119;BANDTE-GO013;;13.2;1;SUDESTE/CENTRO-OESTE;1
120;P.CALD-MG345;;345;1;SUDESTE/CENTRO-OESTE;1
121;PCAT51-MG000;;1.1;1;SUDESTE/CENTRO-OESTE;1
122;IBIUNA-SP500;;500;1;SUDESTE/CENTRO-OESTE;1
123;CAMPIN-SP345;;345;1;SUDESTE/CENTRO-OESTE;1
124;CAMPI1-SP000;;1.1;1;SUDESTE/CENTRO-OESTE;1
125;IB-BA1CAP500;;500;1;SUDESTE/CENTRO-OESTE;1
126;GUARUL-SP345;;345;1;SUDESTE/CENTRO-OESTE;1
127;MO-RL1-SP345;;345;1;SUDESTE/CENTRO-OESTE;1
128;MO-RL2-SP345;;345;1;SUDESTE/CENTRO-OESTE;1
129;MOGI---SP345;;345;1;SUDESTE/CENTRO-OESTE;1
130;IB-BA2CAP500;;500;1;SUDESTE/CENTRO-OESTE;1
131;M.MORA-MG345;;345;1;SUDESTE/CENTRO-OESTE;1
133;ADRT1A-RJ000;;1.1;1;SUDESTE/CENTRO-OESTE;1
134;LCBARR-SP345;;345;1;SUDESTE/CENTRO-OESTE;1
135;JACT1A-RJ000;;1.1;1;SUDESTE/CENTRO-OESTE;1
136;FURNAS-MG345;;345;1;SUDESTE/CENTRO-OESTE;1
137;JACT2A-RJ000;;1.1;1;SUDESTE/CENTRO-OESTE;1
138;ITUTIN-MG345;;345;1;SUDESTE/CENTRO-OESTE;1
139;ADRT51-RJ000;;1.1;1;SUDESTE/CENTRO-OESTE;1
140;ADRIAN-RJ345;;345;1;SUDESTE/CENTRO-OESTE;1
141;ADRT53-RJ000;;1.1;1;SUDESTE/CENTRO-OESTE;1
142;ADRT55-RJ000;;1.1;1;SUDESTE/CENTRO-OESTE;1
143;ADRT2B-RJ000;;1.1;1;SUDESTE/CENTRO-OESTE;1
144;JACARE-RJ345;;345;1;SUDESTE/CENTRO-OESTE;1
145;ADRT1B-RJ000;;1.1;1;SUDESTE/CENTRO-OESTE;1
146;ADRT2A-RJ000;;1.1;1;SUDESTE/CENTRO-OESTE;1
147;CAMPOS-RJ345;;345;1;SUDESTE/CENTRO-OESTE;1
148;CAMPO1-RJ000;;1.1;1;SUDESTE/CENTRO-OESTE;1
149;VITORI-ES345;;345;1;SUDESTE/CENTRO-OESTE;1
150;VITAT1-ES000;;1.1;1;SUDESTE/CENTRO-OESTE;1
152;VITAT2-ES000;;1.1;1;SUDESTE/CENTRO-OESTE;1
153;VITAT3-ES000;;1.1;1;SUDESTE/CENTRO-OESTE;1
154;VITAT2-ES013;;13.8;1;SUDESTE/CENTRO-OESTE;1
155;VITAT3-ES013;;13.8;1;SUDESTE/CENTRO-OESTE;1
156;VITAT4-ES013;;13.8;1;SUDESTE/CENTRO-OESTE;1
157;CAMPCA-RJ345;;345;1;SUDESTE/CENTRO-OESTE;1
158;VITAT4-ES000;;1.1;1;SUDESTE/CENTRO-OESTE;1
159;JA-R30-RJ013;;13.2;1;SUDESTE/CENTRO-OESTE;1
160;JB-R60-RJ013;;13.2;1;SUDESTE/CENTRO-OESTE;1
161;MO-FCE-SP230;;230;1;SUDESTE/CENTRO-OESTE;1
162;CAMAT1-SP000;;1.1;1;SUDESTE/CENTRO-OESTE;1
163;CAMPI--SP013;;13.2;1;SUDESTE/CENTRO-OESTE;1
164;PCAT02-MG000;;1.1;1;SUDESTE/CENTRO-OESTE;1
165;P.CAL--MG013;;13.8;1;SUDESTE/CENTRO-OESTE;1
166;JACT1B-RJ000;;1.1;1;SUDESTE/CENTRO-OESTE;1
167;JA-R60-RJ013;;13.2;1;SUDESTE/CENTRO-OESTE;1
169;SJOSE2-RJ138;;138;1;SUDESTE/CENTRO-OESTE;1
170;P.CALD-MG138;;138;1;SUDESTE/CENTRO-OESTE;1
171;CAMPIN-SP138;;138;1;SUDESTE/CENTRO-OESTE;1
172;IMBARE-RJ138;;138;1;SUDESTE/CENTRO-OESTE;1
173;ADRIAN-RJ138;;138;1;SUDESTE/CENTRO-OESTE;1
174;R.LEAO-RJ138;;138;1;SUDESTE/CENTRO-OESTE;1
175;CAMPOS-RJ138;;138;1;SUDESTE/CENTRO-OESTE;1
176;CAMPI2-SP000;;1.1;1;SUDESTE/CENTRO-OESTE;1
177;VITORI-ES138;;138;1;SUDESTE/CENTRO-OESTE;1
178;GRAJAU-RJ138;;138;1;SUDESTE/CENTRO-OESTE;1
179;GR2T54-RJ000;;1.1;1;SUDESTE/CENTRO-OESTE;1
180;JACAR2-RJ138;;138;1;SUDESTE/CENTRO-OESTE;1
181;ANGDEF-RJ138;;138;1;SUDESTE/CENTRO-OESTE;1
182;FUNIL--RJ138;;138;1;SUDESTE/CENTRO-OESTE;1
183;C.PAUL-SP138;;138;1;SUDESTE/CENTRO-OESTE;1
184;S.CRUZ-RJ138;;138;1;SUDESTE/CENTRO-OESTE;1
185;ANGRA--RJ138;;138;1;SUDESTE/CENTRO-OESTE;1
186;CAMPI2-SP013;;13.8;1;SUDESTE/CENTRO-OESTE;1
187;M.MORA-MG138;;138;1;SUDESTE/CENTRO-OESTE;1
189;BGERT1-DF000;;1.1;1;SUDESTE/CENTRO-OESTE;1
190;P.COL--MG138;;138;1;SUDESTE/CENTRO-OESTE;1
192;CM1CAP-RJ013;;13.8;1;SUDESTE/CENTRO-OESTE;1
194;ADRT55-RJ013;;13.8;1;SUDESTE/CENTRO-OESTE;1
195;ADRT53-RJ013;;13.8;1;SUDESTE/CENTRO-OESTE;1
196;CAMPI1-SP013;;13.8;1;SUDESTE/CENTRO-OESTE;1
197;ADRT51-RJ013;;13.8;1;SUDESTE/CENTRO-OESTE;1
198;PCALAT-MG013;;13.8;1;SUDESTE/CENTRO-OESTE;1
199;VITAT1-ES013;;13.8;1;SUDESTE/CENTRO-OESTE;1
200;UCAMP1-RJ000;;1.1;1;SUDESTE/CENTRO-OESTE;1
201;RSIL-1UTE001;;1.3;1;SUDESTE/CENTRO-OESTE;1
202;UCAMP2-RJ000;;1.1;1;SUDESTE/CENTRO-OESTE;1
203;RSIL-2UTE001;;1.3;1;SUDESTE/CENTRO-OESTE;1
204;ADRT1B-RJ013;;13.8;1;SUDESTE/CENTRO-OESTE;1
205;ADRT2A-RJ013;;13.8;1;SUDESTE/CENTRO-OESTE;1
206;ADRT2B-RJ013;;13.8;1;SUDESTE/CENTRO-OESTE;1
208;BGERT1-DF013;;13.8;1;SUDESTE/CENTRO-OESTE;1
209;ADRIAN-RJ013;;13.2;1;SUDESTE/CENTRO-OESTE;1
210;ITUMBI-MG500;;500;1;SUDESTE/CENTRO-OESTE;1
211;CAMPO2-RJ000;;1.1;1;SUDESTE/CENTRO-OESTE;1
212;CM2CAP-RJ013;;13.8;1;SUDESTE/CENTRO-OESTE;1
213;MARIMB-MG345;;345;1;SUDESTE/CENTRO-OESTE;1
214;MARIMB-MG000;;1.1;1;SUDESTE/CENTRO-OESTE;1
216;P.COL--MG345;;345;1;SUDESTE/CENTRO-OESTE;1
217;ITUMBI-MG345;;345;1;SUDESTE/CENTRO-OESTE;1
218;BANDEI-GO345;;345;1;SUDESTE/CENTRO-OESTE;1
219;B.SUL--DF345;;345;1;SUDESTE/CENTRO-OESTE;1
220;CORUMB-GO345;;345;1;SUDESTE/CENTRO-OESTE;1
221;B.GERA-DF034;;34.5;1;SUDESTE/CENTRO-OESTE;1
222;BSULT2-DF000;;1.1;1;SUDESTE/CENTRO-OESTE;1
223;BANDT1-GO000;;1.1;1;SUDESTE/CENTRO-OESTE;1
224;BANDT2-GO000;;1.1;1;SUDESTE/CENTRO-OESTE;1
225;ITUMBI-MG230;;230;1;SUDESTE/CENTRO-OESTE;1
226;BANDEI-GO230;;230;1;SUDESTE/CENTRO-OESTE;1
227;B.GERA-DF230;;230;1;SUDESTE/CENTRO-OESTE;1
228;B.SUL--DF230;;230;1;SUDESTE/CENTRO-OESTE;1
229;B.ALTO-GO230;;230;1;SUDESTE/CENTRO-OESTE;1
230;S.MESA-GO230;;230;1;SUDESTE/CENTRO-OESTE;1
231;R.VERD-GO230;;230;1;SUDESTE/CENTRO-OESTE;1
232;BSULT2-DF013;;13.8;1;SUDESTE/CENTRO-OESTE;1
233;SAMAMB-DF500;;500;1;SUDESTE/CENTRO-OESTE;1
234;SAMAMB-DF345;;345;1;SUDESTE/CENTRO-OESTE;1
235;S.MESA-GO500;;500;1;SUDESTE/CENTRO-OESTE;1
236;B.SUL--DF138;;138;1;SUDESTE/CENTRO-OESTE;1
237;SAMAMB-DF138;;138;1;SUDESTE/CENTRO-OESTE;1
238;R.VERD-GO138;;138;1;SUDESTE/CENTRO-OESTE;1
239;S.MESA-GO138;;138;1;SUDESTE/CENTRO-OESTE;1
240;RVERDE-GO000;;1.1;1;SUDESTE/CENTRO-OESTE;1
241;RVERDE-GO013;;13.8;1;SUDESTE/CENTRO-OESTE;1
242;BANDT1-GO013;;13.2;1;SUDESTE/CENTRO-OESTE;1
243;BANDT2-GO013;;13.2;1;SUDESTE/CENTRO-OESTE;1
244;BSU-T7-DF000;;1.1;1;SUDESTE/CENTRO-OESTE;1
245;BSULT7-DF013;;13.2;1;SUDESTE/CENTRO-OESTE;1
246;MARIMB-MG013;;13.8;1;SUDESTE/CENTRO-OESTE;1
247;C.BRAV-GO138;;138;1;SUDESTE/CENTRO-OESTE;1
248;RBOIS-TAP138;;138;1;SUDESTE/CENTRO-OESTE;1
249;RCLARO-GO138;;138;1;SUDESTE/CENTRO-OESTE;1
250;NPECANUHE001;;1.3;40;SUDESTE/CENTRO-OESTE;1
251;N.PECA-RJ138;;138;40;SUDESTE/CENTRO-OESTE;1
252;N.PECA-RJ230;;230;40;SUDESTE/CENTRO-OESTE;1
253;FONTESUHE001;;1.3;40;SUDESTE/CENTRO-OESTE;1
254;FONTES-RJ138;;138;40;SUDESTE/CENTRO-OESTE;1
255;PPASSOUHE001;;1.3;40;SUDESTE/CENTRO-OESTE;1
256;PPASSO-RJ138;;138;40;SUDESTE/CENTRO-OESTE;1
257;I.POMBUHE001;;1.3;40;SUDESTE/CENTRO-OESTE;1
258;I.POMB-RJ138;;138;40;SUDESTE/CENTRO-OESTE;1
259;SCECIL-RJ013;;13.8;40;SUDESTE/CENTRO-OESTE;1
260;S.CEC-PCH138;;138;40;SUDESTE/CENTRO-OESTE;1
261;VIGARI-RJ013;;13.8;40;SUDESTE/CENTRO-OESTE;1
262;VIGARI-RJ138;;138;40;SUDESTE/CENTRO-OESTE;1
263;TAQUAR-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
265;VULCAN-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
266;S.CLAR-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
267;CPP----RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
268;CFRTAP-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
269;CSN---UTE002;;1.3;41;SUDESTE/CENTRO-OESTE;1
270;CORDOV-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
271;MERITI-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
272;TRIAGE-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
273;SAUDAD-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
274;V.RED-PCH138;;138;9;SUDESTE/CENTRO-OESTE;1
275;CASCA2-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
276;BRISAM-RJ138;;138;9;SUDESTE/CENTRO-OESTE;1
