<BEGIN>;;;;;;;;;;;;;;;;;;;
<Hydro plants>;;;;;;;;;;;;;;;;;;;
ID;Name;Minimum reservoir volume (hm3);Maximum reservoir volume (hm3);Name of downriver reservoir;Water travelling time (h);Run-of-river plant? TRUE or FALSE;Minimum forebay level (m);Maximum forebay level (m);Maximum spillage (m3/s);Basin;Influence of spillage on the HPF? Yes or No;Maximum spillage - HPF;Downriver plant of bypass discharge;Maximum bypass discharge (m3/s);Water travel time in the bypass process (h);Downriver reservoir of pump units;Upriver reservoir of pump units;Water travel time in pumping (h);Comments
25;SEROPEDICA-unit8;35;45;100;106;106;4;6;3974;0;0;0;;;;;;;
26;JARAQUI-unit6;15;39.4;400;35;35;4;6;8612;0;0;0;;;;;;;
27;JARAQUI-unit7;15;36.1;400;35;35;4;6;8616;0;0;0;;;;;;;
28;MANAUARA-unit1;10;16.7;500;34;34;4;12;8609;0;0;0;;;;;;;
29;MANAUARA-unit2;10;16.7;500;34;34;4;12;8609;0;0;0;;;;;;;
30;MANAUARA-unit3;10;16.7;500;34;34;4;12;8609;0;0;0;;;;;;;
31;MANAUARA-unit4;10;16.7;500;34;34;4;12;8609;0;0;0;;;;;;;
32;MANAUARA-unit5;10;16.7;500;34;34;4;12;8609;0;0;0;;;;;;;
33;N.FLU_DESSEM-unit1;130;177.7;330;60;60;16;4;3962;0;0;0;;;;;;;
34;N.FLU_DESSEM-unit2;130;178.2;330;60;60;16;4;3962;0;0;0;;;;;;;
35;N.FLU_DESSEM-unit3;130;179.8;330;60;60;16;4;3962;0;0;0;;;;;;;
36;N.FLU_DESSEM-unit4;130;291;330;60;60;16;4;3963;0;0;0;;;;;;;
37;P. NEGRA-unit1;8;16.5;325;34;34;4;12;8610;0;0;0;;;;;;;
38;P. NEGRA-unit2;8;16.5;325;34;34;4;12;8610;0;0;0;;;;;;;
39;P. NEGRA-unit3;8;16.5;325;34;34;4;12;8610;0;0;0;;;;;;;
40;P. NEGRA-unit4;8;16.5;325;34;34;4;12;8610;0;0;0;;;;;;;
41;TERMORIO-unit1;65;105;147;60;60;72;48;4203;0;0;0;;;;;;;
42;TERMORIO-unit2;65;105;147;60;60;72;48;4203;0;0;0;;;;;;;
43;TERMORIO-unit3;65;105;147;60;60;72;48;4204;0;0;0;;;;;;;
44;TERMORIO-unit4;65;105;147;60;60;72;48;4205;0;0;0;;;;;;;
45;TERMORIO-unit5;65;105;147;60;60;72;48;4206;0;0;0;;;;;;;
46;TERMORIO-unit6;65;105;147;60;60;72;48;4206;0;0;0;;;;;;;
47;TERMORIO-unit7;80;110;147;60;60;72;48;4207;0;0;0;;;;;;;
48;TERMORIO-unit8;80;110;147;60;60;72;48;4208;0;0;0;;;;;;;
49;T.LAGOAS-unit1;45;63;224.4;20;20;3;3;4300;0;0;0;;;;;;;
50;T.LAGOAS-unit2;45;63;224.4;20;20;3;3;4300;0;0;0;;;;;;;
51;T.LAGOAS-unit3;45;63;224.4;20;20;3;3;4300;0;0;0;;;;;;;
52;T.LAGOAS-unit4;45;63;224.4;20;20;3;3;4301;0;0;0;;;;;;;
53;T.LAGOAS-unit5;45;61;224.4;20;20;3;3;4301;0;0;0;;;;;;;
54;T.LAGOAS-unit6;45;61;224.4;20;20;3;3;4301;0;0;0;;;;;;;
55;MARANHAO 3-unit1;130;155;80.44;30;30;120;48;5646;0;0;0;;;;;;;
56;MARANHAO 3-unit2;130;155;80.44;30;30;120;48;5646;0;0;0;;;;;;;
57;MARANHAO 3-unit3;130;208;80.44;30;30;120;48;5815;0;0;0;;;;;;;
58;TERMOPERNAMB-unit1;97;164.7;118.5;67;67;31;8;5151;0;0;0;;;;;;;
59;TERMOPERNAMB-unit2;150;160.5;118.5;67;67;31;8;5151;0;0;0;;;;;;;
60;TERMOPERNAMB-unit3;199;207.8;118.5;67;67;31;8;5154;0;0;0;;;;;;;
61;B FLUMINENSE-unit1;106;150;121.45;50;50;72;48;9627;0;0;0;;;;;;;
62;B FLUMINENSE-unit2;106;150;121.45;50;50;72;48;9627;0;0;0;;;;;;;
63;B FLUMINENSE-unit3;106;230;121.45;50;50;72;48;9628;0;0;0;;;;;;;
64;MARANHAO 4-unit1;100;168.872;127.77;240;240;120;48;5647;0;0;0;;;;;;;
65;MARANHAO 4-unit2;100;168.872;127.77;240;240;120;48;5647;0;0;0;;;;;;;
66;MARANHAO 5-unit1;100;168.872;127.77;240;240;120;48;5648;0;0;0;;;;;;;
67;MARANHAO 5-unit2;100;168.872;127.77;240;240;120;48;5648;0;0;0;;;;;;;
68;FORTALEZA-unit1;40;108;164.36;96;96;96;3;5654;0;0;0;;;;;;;
69;FORTALEZA-unit2;40;108;164.36;96;96;96;3;5654;0;0;0;;;;;;;
70;FORTALEZA-unit3;69;110;164.36;96;96;96;3;5655;0;0;0;;;;;;;
71;LINHARES-unit1;25;51;205.18;35;35;192;12;9026;0;0;0;;;;;;;
72;LINHARES-unit2;25;51;205.18;35;35;192;12;9026;0;0;0;;;;;;;
73;LINHARES-unit3;25;51;205.18;35;35;192;12;9026;0;0;0;;;;;;;
74;LINHARES-unit4;25;51;205.18;35;35;192;12;9026;0;0;0;;;;;;;
75;N VENECIA;110;178;217.98;68;68;120;48;5650;0;0;0;;;;;;;
76;J.DEFORA-unit1;35;43.9;283.74;17;17;4;6;4100;0;0;0;;;;;;;
77;J.DEFORA-unit2;35;43.1;283.74;17;17;4;6;4180;0;0;0;;;;;;;
78;RALMEIDA(L)-unit1;20;26;345.02;25;25;72;360;5757;0;0;0;;;;;;;
79;RALMEIDA(L)-unit2;20;26;345.02;25;25;72;360;5757;0;0;0;;;;;;;
80;RALMEIDA(L)-unit3;20;26;345.02;25;25;72;360;5757;0;0;0;;;;;;;
81;RALMEIDA(L)-unit4;20;45;345.02;25;25;72;360;5757;0;0;0;;;;;;;
82;IBIRITE-gas;90;150;346.37;76;76;72;48;1585;0;0;0;;;;;;;
83;IBIRITE-steam;50;72;346.37;76;76;72;48;1585;0;0;0;;;;;;;
84;TERMOCEARA(L)-unit1;30;55.8;365.92;173.4;173.4;4;6;5660;0;0;0;;;;;;;
85;TERMOCEARA(L)-unit2;30;57.1;365.92;173.4;173.4;4;6;5660;0;0;0;;;;;;;
86;TERMOCEARA(L)-unit3;30;56.2;365.92;173.4;173.4;4;6;5660;0;0;0;;;;;;;
87;TERMOCEARA(L)-unit4;30;53.9;365.92;173.4;173.4;4;6;5660;0;0;0;;;;;;;
88;TERMOBAHIA;100;185.9;374.87;60;60;4;6;5827;0;0;0;;;;;;;
89;VALE DO ACU-unit1;110;184;266.23;50;50;12;12;5466;0;0;0;Aggregation bus manually chosen;;;;;;
90;VALE DO ACU-unit2;110;184;266.23;50;50;12;12;5466;0;0;0;Aggregation bus manually chosen;;;;;;
91;URUGUAIANA-unit1;5;187.7;486.2;150;150;240;0;1164;0;0;0;;;;;;;
92;URUGUAIANA-unit2;5;187.7;486.2;150;150;240;0;1164;0;0;0;;;;;;;
93;URUGUAIANA-unit3;5;264.6;486.2;150;150;240;0;1165;0;0;0;;;;;;;
94;M.COVAS-unit1;100;167.4;511.77;120;120;48;12;4596;0;0;0;;;;;;;
95;M.COVAS-unit2;100;167.4;511.77;120;120;48;12;4596;0;0;0;;;;;;;
96;M.COVAS-unit3;100;194.4;511.77;120;120;48;12;4597;0;0;0;;;;;;;
97;NPIRATININGA-unit1;60;95;548.04;360;360;24;48;405;0;0;0;;;;;;;
98;NPIRATININGA-unit2;60;95;548.04;360;360;24;48;405;0;0;0;;;;;;;
99;NPIRATININGA-unit3;60;95;548.04;360;360;24;48;406;0;0;0;;;;;;;
100;NPIRATININGA-unit4;60;95;548.04;360;360;24;48;406;0;0;0;;;;;;;
101;NPIRATININGA-unit5;60;90;548.04;360;360;24;48;404;0;0;0;;;;;;;
102;NPIRATININGA-unit6;60;90;548.04;360;360;24;48;404;0;0;0;;;;;;;
103;TERMOMACAE-unit1;35;45;589.23;10;10;4;6;3977;0;0;0;;;;;;;
104;TERMOMACAE-unit2;35;45;589.23;10;10;4;6;3977;0;0;0;;;;;;;
105;TERMOMACAE-unit3;35;45;589.23;10;10;4;6;3977;0;0;0;;;;;;;
106;TERMOMACAE-unit4;35;45;589.23;10;10;4;6;3977;0;0;0;;;;;;;
107;TERMOMACAE-unit5;35;45;589.23;10;10;4;6;3977;0;0;0;;;;;;;
108;TERMOMACAE-unit6;35;45;589.23;10;10;4;6;3977;0;0;0;;;;;;;
109;TERMOMACAE-unit7;35;45;589.23;10;10;4;6;3977;0;0;0;;;;;;;
110;TERMOMACAE-unit8;35;45;589.23;10;10;4;6;3977;0;0;0;;;;;;;
111;TERMOMACAE-unit9;35;45;589.23;10;10;4;6;3977;0;0;0;;;;;;;
112;TERMOMACAE-unit10;35;45;589.23;10;10;4;6;3977;0;0;0;;;;;;;
113;TERMOMACAE-unit11;35;45;589.23;10;10;4;6;3977;0;0;0;;;;;;;
114;TERMOMACAE-unit12;35;45;589.23;10;10;4;6;3977;0;0;0;;;;;;;
115;TERMOMACAE-unit13;35;45;589.23;10;10;4;6;3977;0;0;0;;;;;;;
116;TERMOMACAE-unit14;35;45;589.23;10;10;4;6;3977;0;0;0;;;;;;;
117;TERMOMACAE-unit15;35;45;589.23;10;10;4;6;3977;0;0;0;;;;;;;
118;TERMOMACAE-unit16;35;45;589.23;10;10;4;6;3977;0;0;0;;;;;;;
119;TERMOMACAE-unit17;35;45;589.23;10;10;4;6;3977;0;0;0;;;;;;;
120;TERMOMACAE-unit18;35;45;589.23;10;10;4;6;3977;0;0;0;;;;;;;
121;TERMOMACAE-unit19;35;45;589.23;10;10;4;6;3977;0;0;0;;;;;;;
122;TERMOMACAE-unit20;35;45;589.23;10;10;4;6;3977;0;0;0;;;;;;;
123;S.TIARAJU(L)-gas;90;160;698.14;20;20;6;6;1152;0;0;0;;;;;;;
124;S.TIARAJU(L)-steam;60;84;698.14;20;20;6;6;1169;0;0;0;;;;;;;
125;TNORTE 2-unit1;60;73.8;910.86;360;360;12;12;6912;0;0;0;;;;;;;
126;TNORTE 2-unit2;60;73.8;910.86;360;360;12;12;6912;0;0;0;;;;;;;
127;TNORTE 2-unit3;60;73.8;910.86;360;360;12;12;6913;0;0;0;;;;;;;
128;TNORTE 2-unit4;60;118.6;910.86;360;360;12;12;6913;0;0;0;;;;;;;
129;APAREC B1-unit1;25;43;71.31;220;220;8;8;8646;0;0;0;;;;;;;
130;APAREC B1-unit2;25;43;71.31;220;220;8;8;8646;0;0;0;;;;;;;
131;APAREC B1-unit3;25;40;71.31;220;220;8;8;8646;0;0;0;;;;;;;
132;APAREC B1-unit4;25;40;71.31;220;220;8;8;8646;0;0;0;;;;;;;
133;SUZANO MA;160;255;800;255;255;0;0;136;0;0;0;Aggregation bus manually chosen;;;;;;
134;ANGRA 2;1080;1350;20.12;18;18;168;168;11;0;0;0;;;;;;;
135;ANGRA 1;520;640;31.17;18;18;168;168;10;0;0;0;;;;;;;
136;CRIST.ROCHA-unit1;4;17.1;700;66;66;3;0;8611;0;0;0;;;;;;;
137;CRIST.ROCHA-unit2;4;17.1;700;66;66;3;0;8611;0;0;0;;;;;;;
138;CRIST.ROCHA-unit3;4;17.1;700;66;66;3;0;8611;0;0;0;;;;;;;
139;CRIST.ROCHA-unit4;4;17.1;700;66;66;3;0;8611;0;0;0;;;;;;;
140;CRIST.ROCHA-unit5;4;17.1;700;66;66;3;0;8611;0;0;0;;;;;;;
141;TAMBAQUI-unit1;10;17.6;500;43;43;5;0;8615;0;0;0;;;;;;;
142;TAMBAQUI-unit2;25;39.4;500;43;43;5;0;8617;0;0;0;;;;;;;
143;TAMBAQUI-unit3;25;36.1;500;43;43;5;0;8617;0;0;0;;;;;;;
144;MARACANAU-unit1;17;21;632.39;72;72;1;3;5460;0;0;0;;;;;;;
145;MARACANAU-unit2;17;21;632.39;72;72;1;3;5460;0;0;0;;;;;;;
146;MARACANAU-unit3;17;21;632.39;72;72;1;3;5460;0;0;0;;;;;;;
147;MARACANAU-unit4;17;21;632.39;72;72;1;3;5460;0;0;0;;;;;;;
148;MARACANAU-unit5;17;21;632.39;72;72;1;3;5460;0;0;0;;;;;;;
149;MARACANAU-unit6;17;21;632.39;72;72;1;3;5460;0;0;0;;;;;;;
150;MARACANAU-unit7;17;21;632.39;72;72;1;3;5460;0;0;0;;;;;;;
151;MARACANAU-unit8;17;21;632.39;72;72;1;3;5460;0;0;0;;;;;;;
152;T.NORDESTE-unit1;41;52.6;650.77;40.2;40.2;10;3;5219;0;0;0;;;;;;;
153;T.NORDESTE-unit2;41;61.3;650.77;40.2;40.2;10;3;5219;0;0;0;;;;;;;
154;T.NORDESTE-unit3;41;56.9;650.77;40.2;40.2;10;3;5219;0;0;0;;;;;;;
155;T.PARAIBA-unit1;41;52.6;650;40.2;40.2;10;3;5218;0;0;0;;;;;;;
156;T.PARAIBA-unit2;41;61.3;650;40.2;40.2;10;3;5218;0;0;0;;;;;;;
157;T.PARAIBA-unit3;41;56.9;650;40.2;40.2;10;3;5218;0;0;0;;;;;;;
158;GERAMAR I-unit1;6.98;8.73;655;166;166;10;8;5557;0;0;0;;;;;;;
159;GERAMAR I-unit2;6.98;8.73;655;166;166;10;8;5557;0;0;0;;;;;;;
160;GERAMAR I-unit3;6.98;8.73;655;166;166;10;8;5557;0;0;0;;;;;;;
161;GERAMAR I-unit4;6.98;8.73;655;166;166;10;8;5557;0;0;0;;;;;;;
162;GERAMAR I-unit5;6.98;8.73;655;166;166;10;8;5557;0;0;0;;;;;;;
163;GERAMAR I-unit6;6.98;8.73;655;166;166;10;8;5557;0;0;0;;;;;;;
164;GERAMAR I-unit7;6.98;8.73;655;166;166;10;8;5557;0;0;0;;;;;;;
165;GERAMAR I-unit8;6.98;8.73;655;166;166;10;8;5557;0;0;0;;;;;;;
166;GERAMAR I-unit9;6.98;8.73;655;166;166;10;8;5557;0;0;0;;;;;;;
167;GERAMAR I-unit10;6.98;8.73;655;166;166;10;8;5557;0;0;0;;;;;;;
168;GERAMAR I-unit11;6.98;8.73;655;166;166;10;8;5557;0;0;0;;;;;;;
169;GERAMAR I-unit12;6.98;8.73;655;166;166;10;8;5557;0;0;0;;;;;;;
170;GERAMAR I-unit13;6.98;8.73;655;166;166;10;8;5557;0;0;0;;;;;;;
171;GERAMAR I-unit14;6.98;8.73;655;166;166;10;8;5557;0;0;0;;;;;;;
172;GERAMAR I-unit15;6.98;8.73;655;166;166;10;8;5557;0;0;0;;;;;;;
173;GERAMAR I-unit16;6.98;8.73;655;166;166;10;8;5557;0;0;0;;;;;;;
174;GERAMAR I-unit17;6.98;8.73;655;166;166;10;8;5557;0;0;0;;;;;;;
175;GERAMAR I-unit18;6.98;8.73;655;166;166;10;8;5557;0;0;0;;;;;;;
176;GERAMAR I-unit19;6.98;8.73;655;166;166;10;8;5557;0;0;0;;;;;;;
177;GERAMAR II-unit1;6.98;8.73;655;166;166;10;8;6447;0;0;0;;;;;;;
178;GERAMAR II-unit2;6.98;8.73;655;166;166;10;8;6447;0;0;0;;;;;;;
179;GERAMAR II-unit3;6.98;8.73;655;166;166;10;8;6447;0;0;0;;;;;;;
180;GERAMAR II-unit4;6.98;8.73;655;166;166;10;8;6447;0;0;0;;;;;;;
181;GERAMAR II-unit5;6.98;8.73;655;166;166;10;8;6447;0;0;0;;;;;;;
182;GERAMAR II-unit6;6.98;8.73;655;166;166;10;8;6447;0;0;0;;;;;;;
183;GERAMAR II-unit7;6.98;8.73;655;166;166;10;8;6447;0;0;0;;;;;;;
184;GERAMAR II-unit8;6.98;8.73;655;166;166;10;8;6447;0;0;0;;;;;;;
185;GERAMAR II-unit9;6.98;8.73;655;166;166;10;8;6447;0;0;0;;;;;;;
186;GERAMAR II-unit10;6.98;8.73;655;166;166;10;8;6447;0;0;0;;;;;;;
187;GERAMAR II-unit11;6.98;8.73;655;166;166;10;8;6447;0;0;0;;;;;;;
188;GERAMAR II-unit12;6.98;8.73;655;166;166;10;8;6447;0;0;0;;;;;;;
189;GERAMAR II-unit13;6.98;8.73;655;166;166;10;8;6447;0;0;0;;;;;;;
190;GERAMAR II-unit14;6.98;8.73;655;166;166;10;8;6447;0;0;0;;;;;;;
191;GERAMAR II-unit15;6.98;8.73;655;166;166;10;8;6447;0;0;0;;;;;;;
192;GERAMAR II-unit16;6.98;8.73;655;166;166;10;8;6447;0;0;0;;;;;;;
193;GERAMAR II-unit17;6.98;8.73;655;166;166;10;8;6447;0;0;0;;;;;;;
194;GERAMAR II-unit18;6.98;8.73;655;166;166;10;8;6447;0;0;0;;;;;;;
195;GERAMAR II-unit19;6.98;8.73;655;166;166;10;8;6447;0;0;0;;;;;;;
196;UTE VIANA-unit1;30;43.6;660;10;10;8;5;8910;0;0;0;;;;;;;
197;UTE VIANA-unit2;30;43.6;660;10;10;8;5;8910;0;0;0;;;;;;;
198;UTE VIANA-unit3;30;43.6;660;10;10;8;5;8911;0;0;0;;;;;;;
199;UTE VIANA-unit4;30;43.6;660;10;10;8;5;8911;0;0;0;;;;;;;
200;CAMPINA GRAN-unit1;31;42.3;640;93.6;93.6;2;3;5220;0;0;0;;;;;;;
201;CAMPINA GRAN-unit2;31;42.3;640;93.6;93.6;2;3;5220;0;0;0;;;;;;;
202;CAMPINA GRAN-unit3;31;42.3;640;93.6;93.6;2;3;5220;0;0;0;;;;;;;
203;CAMPINA GRAN-unit4;31;42.3;640;93.6;93.6;2;3;5220;0;0;0;;;;;;;
204;SUAPE 2-unit1;20;22.4;659.91;72;72;4;4;6021;0;0;0;;;;;;;
205;SUAPE 2-unit2;20;22.4;659.91;72;72;4;4;6021;0;0;0;;;;;;;
206;SUAPE 2-unit3;20;22.4;659.91;72;72;4;4;6021;0;0;0;;;;;;;
207;SUAPE 2-unit4;20;22.4;659.91;72;72;4;4;6022;0;0;0;;;;;;;
208;SUAPE 2-unit5;20;22.4;659.91;72;72;4;4;6022;0;0;0;;;;;;;
209;SUAPE 2-unit6;20;22.4;659.91;72;72;4;4;6022;0;0;0;;;;;;;
210;SUAPE 2-unit7;20;22.4;659.91;72;72;4;4;6023;0;0;0;;;;;;;
211;SUAPE 2-unit8;20;22.4;659.91;72;72;4;4;6023;0;0;0;;;;;;;
212;SUAPE 2-unit9;20;22.4;659.91;72;72;4;4;6023;0;0;0;;;;;;;
213;SUAPE 2-unit10;20;22.4;659.91;72;72;4;4;6024;0;0;0;;;;;;;
214;SUAPE 2-unit11;20;22.4;659.91;72;72;4;4;6024;0;0;0;;;;;;;
215;SUAPE 2-unit12;20;22.4;659.91;72;72;4;4;6024;0;0;0;;;;;;;
216;SUAPE 2-unit13;20;22.4;659.91;72;72;4;4;6025;0;0;0;;;;;;;
217;SUAPE 2-unit14;20;22.4;659.91;72;72;4;4;6025;0;0;0;;;;;;;
218;SUAPE 2-unit15;20;22.4;659.91;72;72;4;4;6025;0;0;0;;;;;;;
219;SUAPE 2-unit16;20;22.4;659.91;72;72;4;4;6026;0;0;0;;;;;;;
220;SUAPE 2-unit17;20;22.4;659.91;72;72;4;4;6026;0;0;0;;;;;;;
221;GLOBAL I-unit1;25;34.7;741.67;60;60;4;6;5820;0;0;0;;;;;;;
222;GLOBAL I-unit2;25;34.7;741.67;60;60;4;6;5820;0;0;0;;;;;;;
223;GLOBAL I-unit3;25;34.7;741.67;60;60;4;6;5820;0;0;0;;;;;;;
224;GLOBAL I-unit4;25;44.6;741.67;60;60;4;6;5820;0;0;0;;;;;;;
225;GLOBAL II-unit1;30;34.7;741.67;60;60;4;6;5823;0;0;0;;;;;;;
226;GLOBAL II-unit2;30;34.7;741.67;60;60;4;6;5823;0;0;0;;;;;;;
227;GLOBAL II-unit3;30;34.7;741.67;60;60;4;6;5823;0;0;0;;;;;;;
228;GLOBAL II-unit4;30;44.6;741.67;60;60;4;6;5823;0;0;0;;;;;;;
229;IGARAPE;32;131;939.55;60;60;168;168;1500;0;0;0;;;;;;;
230;CAMACARI MI-unit1;25;40;1113.15;187.5;187.5;4;6;5762;0;0;0;;;;;;;
231;CAMACARI MI-unit2;25;30;1113.15;187.5;187.5;4;6;5762;0;0;0;;;;;;;
232;CAMACARI MI-unit3;25;40;1113.15;187.5;187.5;4;6;5762;0;0;0;;;;;;;
233;CAMACARI MI-unit4;25;40;1113.15;187.5;187.5;4;6;5762;0;0;0;;;;;;;
234;MAUA 3-unit1;100;189.6;71.31;120;120;8;8;8535;0;0;0;;;;;;;
235;MAUA 3-unit2;100;189.6;71.31;120;120;8;8;8535;0;0;0;;;;;;;
236;MAUA 3-unit3;160;211.7;71.31;120;120;8;8;8538;0;0;0;;;;;;;
237;PERNAMBUCO3-unit1;6;52.4;557.94;72.6;72.6;1;8;5178;0;0;0;;;;;;;
238;PERNAMBUCO3-unit2;6;52.4;557.94;72.6;72.6;1;8;5178;0;0;0;;;;;;;
239;PERNAMBUCO3-unit3;6;52.4;557.94;72.6;72.6;1;8;5178;0;0;0;;;;;;;
240;PERNAMBUCO3-unit4;6;43.6;557.94;72.6;72.6;1;8;5178;0;0;0;;;;;;;
241;PALMEIRAS-unit1;50;88.2;1064.29;75;75;5;3;3740;0;0;0;;;;;;;
242;PALMEIRAS-unit2;50;87.3;1064.29;75;75;5;3;3740;0;0;0;;;;;;;
243;GOIANIA 2-unit1;55;70;1216.54;30;30;5;3;3017;0;0;0;;;;;;;
244;GOIANIA 2-unit2;55;70;1216.54;30;30;5;3;3017;0;0;0;;;;;;;
245;PETROLINA(L)-unit1;15;17;1221.29;54;54;6;3;6314;0;0;0;;;;;;;
246;PETROLINA(L)-unit2;15;17;1221.29;54;54;6;3;6314;0;0;0;;;;;;;
247;PETROLINA(L)-unit3;15;17;1221.29;54;54;6;3;6314;0;0;0;;;;;;;
248;PETROLINA(L)-unit4;15;17;1221.29;54;54;6;3;6314;0;0;0;;;;;;;
249;PETROLINA(L)-unit5;15;17;1221.29;54;54;6;3;6314;0;0;0;;;;;;;
250;PETROLINA(L)-unit6;15;17;1221.29;54;54;6;3;6314;0;0;0;;;;;;;
251;PETROLINA(L)-unit7;15;17;1221.29;54;54;6;3;6314;0;0;0;;;;;;;
252;PETROLINA(L)-unit8;15;17;1221.29;54;54;6;3;6314;0;0;0;;;;;;;
253;P.FERRO-unit1;1;13.9;1533.11;13.8;13.8;3;1;5187;0;0;0;;;;;;;
254;P.FERRO-unit2;1;12.5;1533.11;13.8;13.8;3;1;5187;0;0;0;;;;;;;
255;P.FERRO-unit3;1;13.9;1533.11;13.8;13.8;3;1;5187;0;0;0;;;;;;;
256;P.FERRO-unit4;1;12.5;1533.11;13.8;13.8;3;1;5187;0;0;0;;;;;;;
257;P.FERRO-unit5;1;13.9;1533.11;13.8;13.8;3;1;5187;0;0;0;;;;;;;
258;P.FERRO-unit6;1;12.5;1533.11;13.8;13.8;3;1;5187;0;0;0;;;;;;;
259;P.FERRO-unit7;1;14.9;1533.11;13.8;13.8;3;1;5187;0;0;0;;;;;;;
260;T.MANAUS-unit1;3;6.2;1533.11;4.2;4.2;3;1;5188;0;0;0;;;;;;;
261;T.MANAUS-unit2;6.7;13.9;1533.11;4.2;4.2;3;1;5188;0;0;0;;;;;;;
262;T.MANAUS-unit3;6;12.5;1533.11;4.2;4.2;3;1;5188;0;0;0;;;;;;;
263;T.MANAUS-unit4;6.7;13.9;1533.11;4.2;4.2;3;1;5188;0;0;0;;;;;;;
264;T.MANAUS-unit5;6;12.5;1533.11;4.2;4.2;3;1;5188;0;0;0;;;;;;;
265;T.MANAUS-unit6;6.7;13.9;1533.11;4.2;4.2;3;1;5188;0;0;0;;;;;;;
266;T.MANAUS-unit7;2.3;4.8;1533.11;4.2;4.2;3;1;5188;0;0;0;;;;;;;
267;T.MANAUS-unit8;6;12.5;1533.11;4.2;4.2;3;1;5188;0;0;0;;;;;;;
268;T.MANAUS-unit9;6.7;13.9;1533.11;4.2;4.2;3;1;5188;0;0;0;;;;;;;
269;T.MANAUS-unit10;6;12.5;1533.11;4.2;4.2;3;1;5188;0;0;0;;;;;;;
270;T.MANAUS-unit11;6.7;13.9;1533.11;4.2;4.2;3;1;5188;0;0;0;;;;;;;
271;T.MANAUS-unit12;6;12.5;1533.11;4.2;4.2;3;1;5188;0;0;0;;;;;;;
272;ATLANTICO-unit1;90;235.2;182.77;60;60;24;6;9600;0;0;0;;;;;;;
273;ATLANTICO-unit2;90;235.2;182.77;60;60;24;6;9603;0;0;0;;;;;;;
274;ATLANTICO 2;40;254.8;182.77;60;60;24;6;9615;0;0;0;;;;;;;
275;S.CRUZ 34-unit1;0;218;310.41;30;30;0;0;30;0;0;0;;;;;;;
276;S.CRUZ 34-unit2;0;218;310.41;30;30;0;0;30;0;0;0;;;;;;;
277;S.CRUZ NV-unit1;100;175;124.72;30;30;24;24;32;0;0;0;;;;;;;
278;S.CRUZ NV-unit2;100;175;124.72;30;30;24;24;32;0;0;0;;;;;;;
279;PIRATININGA 12-unit1;0;100;470.34;50;50;0;0;403;0;0;0;;;;;;;
280;PIRATININGA 12-unit2;0;100;470.34;50;50;0;0;404;0;0;0;;;;;;;
281;CAMPOS-unit1;8;13;800;20;20;4;6;201;0;0;0;Manually inserted to prevent load shedding;;;;;;
282;CAMPOS-unit2;8;12;800;20;20;4;6;203;0;0;0;Manually inserted to prevent load shedding;;;;;;
283;DAIA-unit1;2.8;22.1;1178.66;30;30;1;1;3004;0;0;0;;;;;;;
284;DAIA-unit2;2.8;22.34;1178.66;30;30;1;1;3004;0;0;0;;;;;;;
285;DAIA-unit3;0.2;1.6;1178.66;30;30;1;1;3004;0;0;0;;;;;;;
286;STA VITORIA;13;42;116.91;5;5;24;24;7160;0;0;0;;;;;;;
287;XAVANTES-unit1;18;26.064;1695.17;30;30;1;1;2979;0;0;0;;;;;;;
288;XAVANTES-unit2;18;27.512;1695.17;30;30;1;1;2979;0;0;0;;;;;;;
289;ALTOS;4;13.1;1024.21;30;30;0;0;5503;0;0;0;;;;;;;
290;ARACATI;4;11.5;1024.21;30;30;0;0;5453;0;0;0;;;;;;;
291;BAHIA-unit1;8;9.3;731.06;30;30;5;6;5803;0;0;0;;;;;;;
292;BAHIA-unit2;8;9.3;731.06;30;30;5;6;5803;0;0;0;;;;;;;
293;BAHIA-unit3;8;9.3;731.06;30;30;5;6;5803;0;0;0;;;;;;;
294;BATURITE;8;11.5;1024.21;30;30;0;0;5453;0;0;0;;;;;;;
295;IGUATU;8;14.8;1024.21;30;30;0;0;5453;0;0;0;;;;;;;
296;JUAZEIRO N;8;14.8;1024.21;30;30;0;0;5453;0;0;0;;;;;;;
297;MARAMBAIA;8;13.1;1024.21;30;30;0;0;5503;0;0;0;;;;;;;
298;MURICY-unit1;12.5;18;1167.53;30;30;5;4;5764;0;0;0;;;;;;;
299;MURICY-unit2;12.5;18;1167.53;30;30;5;4;5764;0;0;0;;;;;;;
300;MURICY-unit3;12.5;18;1167.53;30;30;5;4;5764;0;0;0;;;;;;;
301;MURICY-unit4;12.5;18;1167.53;30;30;6;4;5764;0;0;0;;;;;;;
302;MURICY-unit5;12.5;18;1167.53;30;30;8;6;5764;0;0;0;;;;;;;
303;MURICY-unit6;12.5;18;1167.53;30;30;8;6;5764;0;0;0;;;;;;;
304;MURICY-unit7;12.5;18;1167.53;30;30;8;6;5764;0;0;0;;;;;;;
305;MURICY-unit8;12.5;18;1167.53;30;30;8;6;5764;0;0;0;;;;;;;
306;NAZARIA;8;13.1;1024.21;30;30;0;0;5503;0;0;0;;;;;;;
307;PSERGIPE I-gas1;50;343;214.84;50;50;168;0;5700;0;0;0;;;;;;;
308;PSERGIPE I-gas2;50;343;214.84;50;50;168;0;5700;0;0;0;;;;;;;
309;PSERGIPE I-gas3;50;343;214.84;50;50;168;0;5700;0;0;0;;;;;;;
