<BEGIN>;;;;;;;;;;;;;;;;;;;
<Hydro plants>;;;;;;;;;;;;;;;;;;;
ID;Name;Minimum reservoir volume (hm3);Maximum reservoir volume (hm3);Name of downriver reservoir;Water travelling time (h);Run-of-river plant? TRUE or FALSE;Minimum forebay level (m);Maximum forebay level (m);Maximum spillage (m3/s);Basin;Influence of spillage on the HPF? Yes or No;Maximum spillage - HPF;Downriver plant of bypass discharge;Maximum bypass discharge (m3/s);Water travel time in the bypass process (h);Downriver reservoir of pump units;Upriver reservoir of pump units;Water travel time in pumping (h);Comments
44;NILO PEÇANHA;38;38;PEREIRA PASSOS;0;TRUE;399;399;5000;Paraíba do Sul;No;500;0;0;0;0;0;0;
45;PEREIRA PASSOS;13;17;0;0;TRUE;86.5;86.5;5000;Paraíba do Sul;Yes;500;0;0;0;0;0;0;
46;FUNIL;283;888;SANTA CECÍLIA;24;TRUE;444;466.5;415;Paraíba do Sul;Yes;41.5;0;0;0;0;0;0;
47;LAJES;0.01;445.35;FONTES;0;TRUE;386.5;415;5000;Paraíba do Sul;No;5000;FONTES BC;7000;0;0;0;0;
48;PARAIBUNA;2096;4732; SANTA BRANCA;8;TRUE;694.6;714;781;Paraíba do Sul;No;781;0;0;0;0;0;0;
49;SANTA BRANCA;131;439;FUNIL;84;TRUE;605;622;600;Paraíba do Sul;No;600;0;0;0;0;0;0;
50;JAGUARI;443;1236;0;0;TRUE;603.2;623;415;Paraíba do Sul;No;415;0;0;0;0;0;0;
51;SANTA CECÍLIA;4;6;ILHA DOS POMBOS;0;TRUE;352.95;352.95;5000;Paraíba do Sul;No;5000;0;0;0;SANTA CECÍLIA;SANTANA;2;
52;SANTANA;4;12;VIGARIO;0;TRUE;363;363;5000;Paraíba do Sul;No;5000;0;0;0;0;0;0;
53;VIGARIO;37;38;NILO PEÇANHA;0;TRUE;399;399;5000;Paraíba do Sul;No;5000;FONTES;70000;0;SANTANA;VIGARIO;0;
54;PICADA;6;7;SOBRAGI;5;TRUE;658.76;659.22;500;Paraíba do Sul;Yes;500;0;0;0;0;0;0;
55;SOBRAGI;0.063;0.087;ILHA DOS POMBOS;0;TRUE;436.5;436.5;5000;Paraíba do Sul;No;5000;0;0;0;0;0;0;
56;SIMPLÍCIO;126.5;126.5;ILHA DOS POMBOS;8;TRUE;251.5;251.5;1000;Paraíba do Sul;Yes;1000;0;0;0;0;0;0;
57;ILHA DOS POMBOS;3;8;0;0;TRUE;135.6;135.6;8580;Paraíba do Sul;No;8580;0;0;0;0;0;0;
58;CORUMBÁ IV;2936.6;3708;CORUMBÁ III;1;TRUE;837;842.6;500;Paraná;Yes;500;0;0;0;0;0;0;
59;CORUMBÁ III;709;972;CORUMBÁ I;16;TRUE;768;772;500;Paraná;Yes;500;0;0;0;0;0;0;
60;CORUMBÁ I;470;1500;ITUMBIARA;6;FALSE;570;595;1000;Paraná;Yes;1000;0;0;0;0;0;0;
61;BATALHA;430.05;1781.61;SERRA DO FACÃO;8;FALSE;785;800;500;Paraná;Yes;500;0;0;0;0;0;0;
62;SERRA DO FACÃO;1752;5199;EMBORCACAO;11;FALSE;732.5;756;2701.4;Paraná;Yes;2701.4;0;0;0;0;0;0;
63;NOVA PONTE;2412;12792;MIRANDA;6;FALSE;775.5;815;2500;Paraná;Yes;2500;0;0;0;0;0;0;
64;MIRANDA;974.4;1120;AMADOR AGUIAR I;5;TRUE;693;696;3000;Paraná;No;3000;0;0;0;0;0;0;
65;AMADOR AGUIAR I;228.27;241.13;AMADOR AGUIAR II;4;TRUE;623.3;624;4000;Paraná;No;4000;0;0;0;0;0;0;
66;AMADOR AGUIAR II;859.63;872.83;ITUMBIARA;4;TRUE;564.99;565;4000;Paraná;Yes;4000;0;0;0;0;0;0;
67;ESPORA;98.65;216.5;I. SOLTEIRA;18;TRUE;576.5;583.5;500;Paraná;Yes;500;0;0;0;0;0;0;
68;SALTO;826.06;1187.4;SALTO DO RIO VERDINHO;0;TRUE;446.5;446.5;1925;Paraná;Yes;1925;0;0;0;0;0;0;
69;SALTO DO RIO VERDINHO;352.5;394.3;I. SOLTEIRA;9;TRUE;370.5;370.5;500;Paraná;Yes;500;0;0;0;0;0;0;
70;CAÇU;197.27;231.77;BARRA DOS COQUEIROS;3;TRUE;475;477;1200;Paraná;Yes;1200;0;0;0;0;0;0;
71;BARRA DOS COQUEIROS;302;349.84;FOZ DO RIO CLARO;8;TRUE;446;448;1300;Paraná;Yes;1300;0;0;0;0;0;0;
72;FOZ DO RIO CLARO;95.33;95.33;I. SOLTEIRA;10;TRUE;354;354;1500;Paraná;Yes;1500;0;0;0;0;0;0;
73;CAMARGOS;120;792;ITUTINGA;0;TRUE;899;913;2242;Paraná;No;2242;0;0;0;0;0;0;
74;ITUTINGA;4.17;11.21;FUNIL - GRANDE;12;TRUE;886;886;2230;Paraná;No;2230;0;0;0;0;0;0;
75;FUNIL - GRANDE;262.12;268.93;FURNAS;23;TRUE;808;808;4000;Paraná;Yes;4000;0;0;0;0;0;0;
76;MASCARENHAS DE MORAES;1540;4040;LC BARRETO;2;FALSE;653.12;666.12;4000;Paraná;Yes;4000;0;0;0;0;0;0;
77;JAGUARA;360;450;IGARAPAVA;5;TRUE;558.5;558.5;4500;Paraná;No;4500;0;0;0;0;0;0;
78;IGARAPAVA;227.23;241.84;VOLTA GRANDE;2;TRUE;512;512;5000;Paraná;Yes;5000;0;0;0;0;0;0;
79;VOLTA GRANDE;1976;2244;PORTO COLÔMBIA;6;TRUE;494.87;494.87;5000;Paraná;No;5000;0;0;0;0;0;0;
80;PORTO COLÔMBIA;1291;1524.5;MARIMBONDO;6;TRUE;467.2;467.2;5000;Paraná;Yes;5000;0;0;0;0;0;0;
81;CACONDE;50.78;554.87;E. DA CUNHA;12;TRUE;825;855;1778;Paraná;Yes;1778;0;0;0;0;0;0;
82;E. DA CUNHA;8.65;13.34;A. S. OLIVEIRA;3;TRUE;665;665;1959;Paraná;Yes;1959;0;0;0;0;0;0;
83;A. S. OLIVEIRA;7.94;24.3;MARIMBONDO;72;TRUE;573;573;2984;Paraná;Yes;2984;0;0;0;0;0;0;
84;SÃO DOMINGOS;112.31;131.3;P. PRIMAVERA;20;TRUE;344;345;931.6;Paraná;Yes;931.6;0;0;0;0;0;0;
85;GUARAPIRANGA;0.77;189.96;TRAIÇÃO;0;TRUE;724.5;736.62;5000;Paraná;No;5000;0;0;0;0;0;0;
86;BILLINGS;0.98;1132.65;PEDREIRA;0;FALSE;728;746.5;10000;Paraná;No;10000;HENRY BORDEN;70000;0;0;0;0;
87;PEDREIRA;0.1;1;TRAIÇÃO;0;TRUE;720.35;722.15;10000;Paraná;Yes;10000;0;0;0;PEDREIRA;BILLINGS;0;
88;TRAIÇÃO;0.1;1;EDGARD DE SOUZA;0;TRUE;715.35;717.15;3500;Paraná;No;3500;0;0;0;TRAIÇÃO;PEDREIRA;0;
90;EDGARD DE SOUZA;0.1;1;BARRA BONITA;0;TRUE;706.15;717.15;4000;Paraná;No;4000;0;0;0;0;0;0;
91;BARRA BONITA;569;3135;BARIRI;12;FALSE;439.5;451.5;3500;Paraná;Yes;3500;0;0;0;0;0;0;
92;BARIRI;482;541.93;IBITINGA;6;TRUE;427.5;427.5;4136;Paraná;Yes;4136;0;0;0;0;0;0;
93;IBITINGA;925;980.77;PROMISSÃO;6;TRUE;404;404;5000;Paraná;Yes;5000;0;0;0;0;0;0;
94;PROMISSÃO;5280;7407.3;N.AVANHANDAVA;6;FALSE;379.7;384;5000;Paraná;Yes;5000;0;0;0;0;0;0;
95;N.AVANHANDAVA;2342;2720;TRES IRMAOS;7;TRUE;358;358;5000;Paraná;Yes;5000;0;0;0;0;0;0;
96;HENRY BORDEN;1;1;0;0;TRUE;728.75;728.75;5000;Paraná;No;5000;0;0;0;0;0;0;
97;JURUMIRIM;3842.9;7007.52;PIRAJU;1;FALSE;559.7;568;2572;Paraná;Yes;2572;0;0;0;0;0;0;
